brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
alfa-romeo,Alfa Romeo Spider 2.0-16 TSpark,14700.0,133 760 km,manual,1 970 cm3,Benzyna,Łask,Łódzkie,1998
alfa-romeo,Alfa Romeo GTV 2.0 16v TSpark,14000.0,133 760 km,manual,1 970 cm3,Benzyna,Mława,Mazowieckie,1998
alfa-romeo,Alfa Romeo 164 2.0 TSpark Super,4500.0,227 000 km,manual,1 970 cm3,Benzyna,Chełmża,Kujawsko-pomorskie,1996
alfa-romeo,Alfa Romeo Spider 2.0 TSpark,17100.0,227 000 km,manual,1 970 cm3,Benzyna,Jasło,Podkarpackie,1996
alfa-romeo,Alfa Romeo 156 1.6 TSpark 16v,3900.0,239 000 km,manual,1 995 cm3,Benzyna+LPG,Pabianice,Łódzkie,1995
alfa-romeo,Alfa Romeo GTV 2.0 TS,17200.0,239 000 km,manual,1 995 cm3,Benzyna+LPG,Warszawa,Mazowieckie,1995
alfa-romeo,Alfa Romeo Spider 2.0-16 TSpark,15500.0,180 711 km,manual,1 970 cm3,Benzyna,Legionowo,Mazowieckie,1998
alfa-romeo,Alfa Romeo GTV 2.0 V6 Turbo,24900.0,180 711 km,manual,1 970 cm3,Benzyna,Pruszków,Mazowieckie,1998
alfa-romeo,Alfa Romeo 156 1.8 TSpark 16v,5800.0,195 000 km,manual,1 598 cm3,Benzyna,Opalenica,Wielkopolskie,1998
alfa-romeo,Alfa Romeo 156 2.5 V6 Distinctive,17500.0,195 000 km,manual,1 598 cm3,Benzyna,Warszawa,Mazowieckie,1998
alfa-romeo,Alfa Romeo GTV 2.0 16v TSpark,14999.0,261 300 km,manual,1 970 cm3,Benzyna,Pruszków,Mazowieckie,1998
alfa-romeo,Alfa Romeo 166 2.0 V6 TB,18500.0,261 300 km,manual,1 970 cm3,Benzyna,Warszawa,Mazowieckie,1998
alfa-romeo,Alfa Romeo Spider 2.0-16 TSpark,18200.0,238 250 km,manual,1 970 cm3,Benzyna,Warszawa,Mazowieckie,1996
alfa-romeo,Alfa Romeo GTV 2.0 16v TSpark L,11900.0,238 250 km,manual,1 970 cm3,Benzyna,Rzeszów,Podkarpackie,1996
alfa-romeo,Alfa Romeo Spider 2.0-16 TSpark,14700.0,133 760 km,manual,1 970 cm3,Benzyna,Łask,Łódzkie,1998
alfa-romeo,Alfa Romeo GTV 2.0 16v TSpark,14000.0,133 760 km,manual,1 970 cm3,Benzyna,Mława,Mazowieckie,1998
