dmr_make,dmr_model,age_band,our_estimate_dkk,real_asking_price_dkk,real_mileage_km,source_note
DACIA,SANDERO,4,43907,44500,190000,
DACIA,SANDERO,4,43907,38000,204000,
DACIA,SANDERO,2,104892,52000,130000,
TOYOTA,AYGO,3,64301,75000,31000,
TOYOTA,AYGO,3,64301,45000,206000,
CITROËN,C1,2,131527,70000,44000,
CITROËN,C1,2,131527,29000,255000,
VOLKSWAGEN,UP!,2,81367,110000,30000,
VOLKSWAGEN,UP!,2,81367,60000,197000,
FORD,FIESTA,2,95413,120000,42000,
FORD,FIESTA,2,95413,40000,229000,
FORD,FIESTA,4,50560,45000,73000,
FORD,FIESTA,4,50560,21500,258000,
PEUGEOT,208,2,88608,85000,26000,
PEUGEOT,208,2,88608,38000,284000,
OPEL,CORSA,3,75219,75000,25000,
OPEL,CORSA,3,75219,27000,281000,
VOLKSWAGEN,GOLF,1,254440,270000,19000,
VOLKSWAGEN,GOLF,1,254440,160000,147000,
VOLKSWAGEN,GOLF,2,171500,169000,42000,
VOLKSWAGEN,GOLF,2,171500,80000,291000,
VOLKSWAGEN,GOLF,4,74601,80000,39000,
VOLKSWAGEN,GOLF,4,74601,33500,483000,
AUDI,Q5,2,577490,470000,107000,
AUDI,Q5,2,577490,345000,195000,
VOLVO,XC60,1,586128,640000,34000,
VOLVO,XC60,1,586128,280000,221000,
