dmr_make,dmr_model,dk_vehicle_count,proposed_dvsa_make,proposed_dvsa_model_token,uk_test_count,confidence,rule_fired
VOLKSWAGEN,UP!,62570,VOLKSWAGEN,UP,290545,exact,prefix_identity
PEUGEOT,208,52719,PEUGEOT,208,521212,exact,prefix_identity
VOLKSWAGEN,POLO,44100,VOLKSWAGEN,POLO,1585668,exact,prefix_identity
TOYOTA,AYGO,43773,TOYOTA,AYGO,625248,exact,prefix_identity
TOYOTA,YARIS,39750,TOYOTA,YARIS,1114899,exact,prefix_identity
CITROËN,C3,38244,CITROEN,C3,574211,exact,prefix_identity
KIA,PICANTO,32895,KIA,PICANTO,459638,exact,prefix_identity
CITROËN,C1,31991,CITROEN,C1,407006,exact,prefix_identity
FORD,FIESTA,31965,FORD,FIESTA,3479593,exact,prefix_identity
VOLKSWAGEN,GOLF,29976,VOLKSWAGEN,GOLF,2127313,exact,prefix_identity
HYUNDAI,I10,29175,HYUNDAI,I10,599315,exact,prefix_identity
SKODA,CITIGO,27868,SKODA,CITIGO,120830,exact,prefix_identity
OPEL,CORSA,27644,VAUXHALL,CORSA,2306909,exact,prefix_identity
RENAULT,Ny Clio,26976,RENAULT,CLIO,848688,exact,prefix_identity
HYUNDAI,I20,25514,HYUNDAI,I20,314701,exact,prefix_identity
SKODA,FABIA,25197,SKODA,FABIA,569705,exact,prefix_identity
SKODA,OCTAVIA,24510,SKODA,OCTAVIA,484694,exact,prefix_identity
NISSAN,QASHQAI,23722,NISSAN,QASHQAI,1469028,exact,prefix_identity
SUZUKI,SWIFT,22549,SUZUKI,SWIFT,324246,exact,prefix_identity
KIA,RIO,21547,KIA,RIO,244472,exact,prefix_identity
PEUGEOT,308,20846,PEUGEOT,308,330850,exact,prefix_identity
RENAULT,Captur,18881,RENAULT,CAPTUR,377121,exact,prefix_identity
VOLKSWAGEN,TOURAN,17682,VOLKSWAGEN,TOURAN,178099,exact,prefix_identity
PEUGEOT,107,17674,PEUGEOT,107,281814,exact,prefix_identity
FORD,KUGA,16767,FORD,KUGA,699530,exact,prefix_identity
PEUGEOT,2008,16677,PEUGEOT,2008,331689,exact,prefix_identity
PEUGEOT,108,15588,PEUGEOT,108,176432,exact,prefix_identity
