dmr_make,dmr_model,dvsa_make,dvsa_model
VOLKSWAGEN,UP!,VOLKSWAGEN,UP
VOLKSWAGEN,UP!,VOLKSWAGEN,UP !
VOLKSWAGEN,UP!,VOLKSWAGEN,UP AUTO
VOLKSWAGEN,UP!,VOLKSWAGEN,UP BEATS
VOLKSWAGEN,UP!,VOLKSWAGEN,UP BLACK EDITION
VOLKSWAGEN,UP!,VOLKSWAGEN,UP GTI
VOLKSWAGEN,UP!,VOLKSWAGEN,UP ORANGE
VOLKSWAGEN,UP!,VOLKSWAGEN,UP R-LINE
VOLKSWAGEN,UP!,VOLKSWAGEN,UP WHITE EDITION
VOLKSWAGEN,UP!,VOLKSWAGEN,UP!
VOLKSWAGEN,UP!,VOLKSWAGEN,UP! CLUB
VOLKSWAGEN,UP!,VOLKSWAGEN,UP! GTI
PEUGEOT,208,PEUGEOT,208
PEUGEOT,208,PEUGEOT,208 ACCESS PLUS E-HDI S-A
PEUGEOT,208,PEUGEOT,208 ACTIVE BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 ACTIVE EV
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM + B-HDI S/S
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM + EV
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM + P-TECH SS
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM + PTCH SS A
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM EV
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM PTECH S/S A
PEUGEOT,208,PEUGEOT,208 ACTIVE PREMIUM PURETECH SS
PEUGEOT,208,PEUGEOT,208 ACTIVE PURETECH S/S
PEUGEOT,208,PEUGEOT,208 ACTIVE PURETECH S/S AUTO
PEUGEOT,208,PEUGEOT,208 ACTIVE PURETECH S/S AUTO PANEL VAN
PEUGEOT,208,PEUGEOT,208 ALLURE BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 ALLURE EV
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM + EV
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM + P-TECH SS
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM + PTCH SS A
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM EV
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM PTECH S/S A
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM PURETECH SS
PEUGEOT,208,PEUGEOT,208 ALLURE PREMIUM+ BLUEHDI SS
PEUGEOT,208,PEUGEOT,208 ALLURE PURETECH MHEV AUTO
PEUGEOT,208,PEUGEOT,208 ALLURE PURETECH S/S
PEUGEOT,208,PEUGEOT,208 ALLURE PURETECH S/S AUTO
PEUGEOT,208,PEUGEOT,208 E HDI
PEUGEOT,208,PEUGEOT,208 GT BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 GT EV
PEUGEOT,208,PEUGEOT,208 GT LINE BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 GT LINE EV
PEUGEOT,208,PEUGEOT,208 GT LINE PURETECH S/S
PEUGEOT,208,PEUGEOT,208 GT LINE PURETECH S/S AUTO
PEUGEOT,208,PEUGEOT,208 GT MHEV AUTO
PEUGEOT,208,PEUGEOT,208 GT PREMIUM BLUEHDI S/S
PEUGEOT,208,PEUGEOT,208 GT PREMIUM EV
PEUGEOT,208,PEUGEOT,208 GT PREMIUM PURETECH S/S
PEUGEOT,208,PEUGEOT,208 GT PREMIUM PURETECH S/S A
PEUGEOT,208,PEUGEOT,208 GT PURETECH S/S
PEUGEOT,208,PEUGEOT,208 GT PURETECH S/S AUTO
PEUGEOT,208,PEUGEOT,208 GT-LINE
PEUGEOT,208,PEUGEOT,208 GTI
PEUGEOT,208,PEUGEOT,208 GTI PRESTIGE
PEUGEOT,208,PEUGEOT,208 STYLE
PEUGEOT,208,PEUGEOT,208 VTI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO   TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO 1.0 TSI SEL DSG EURO 6 (S/S)
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO 1.2 TSI BLUE MOTION AUTO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO 1.2 TSI BLUE MOTION TECH MATCH DSG
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO 1.2 TSI DSG
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO ACTIVE EVO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO ACTIVE TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO ACTIVE TSI S-A
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO AUTO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO BLUE GT
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO CL
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO CROSS
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO DUNE
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GT
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GTI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GTI DSG
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GTI PLUS TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GTI S-A 180
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GTI S-A TSI 192 DSG BLUEMOTION
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO GTI TSI S-A
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO LIFE
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO LIFE TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO LIFE TSI S-A
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO MATCH EVO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO MATCH TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO MATCH TSI S-A
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO MATCHEDITION
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO R LINE
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO SEL TDI 90
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO STYLE TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO TDI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO TSI AUTO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO TSI BLUEMOTION TECH
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO TSI BLUEMOTION TECH SE DSG
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO TSI BLUEMOTION TECHNOLOGY
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO UNITED EVO
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO UNITED TSI
VOLKSWAGEN,POLO,VOLKSWAGEN,POLO UNITED TSI S-A
TOYOTA,AYGO,TOYOTA,AYGO
TOYOTA,AYGO,TOYOTA,AYGO BLACK
TOYOTA,AYGO,TOYOTA,AYGO BLUE
TOYOTA,AYGO,TOYOTA,AYGO FIRE
TOYOTA,AYGO,TOYOTA,AYGO GO!
TOYOTA,AYGO,TOYOTA,AYGO ICE
TOYOTA,AYGO,TOYOTA,AYGO JBL EDITION TSS VVT-I
TOYOTA,AYGO,TOYOTA,AYGO JBL EDITION TSS VVT-I CVT
TOYOTA,AYGO,TOYOTA,AYGO X
TOYOTA,AYGO,TOYOTA,AYGO X AIR EDITION VVT-I
TOYOTA,AYGO,TOYOTA,AYGO X AIR EDITION VVT-I AUTO
TOYOTA,AYGO,TOYOTA,AYGO X EDGE VVT-I
TOYOTA,AYGO,TOYOTA,AYGO X EDGE VVT-I AUTO
TOYOTA,AYGO,TOYOTA,AYGO X EXCLUSIVE VVT-I
TOYOTA,AYGO,TOYOTA,AYGO X EXCLUSIVE VVT-I AUTO
TOYOTA,AYGO,TOYOTA,AYGO X LIMITED EDITION VVT-I
TOYOTA,AYGO,TOYOTA,AYGO X LIMITED EDITION VVT-I A
TOYOTA,AYGO,TOYOTA,AYGO X PURE VVT-I
TOYOTA,AYGO,TOYOTA,AYGO X PURE VVT-I AUTO
TOYOTA,AYGO,TOYOTA,AYGO X UNDERCOVER VVT-I
TOYOTA,AYGO,TOYOTA,AYGO X UNDERCOVER VVT-I AUTO
TOYOTA,AYGO,TOYOTA,AYGO X-CITE
TOYOTA,AYGO,TOYOTA,AYGO X-CITE VVT-I CVT
TOYOTA,AYGO,TOYOTA,AYGO X-CLUSIVE
TOYOTA,AYGO,TOYOTA,AYGO X-TREND
TOYOTA,YARIS,TOYOTA,YARIS
TOYOTA,YARIS,TOYOTA,YARIS 1.0 VVT-I ACTIVE AUTO
TOYOTA,YARIS,TOYOTA,YARIS 1.5 VVT-I ACTIVE HYBRID VVT-I CVT
TOYOTA,YARIS,TOYOTA,YARIS AUTO
TOYOTA,YARIS,TOYOTA,YARIS CDX
TOYOTA,YARIS,TOYOTA,YARIS CROSS
TOYOTA,YARIS,TOYOTA,YARIS CROSS 1.5 VVT-H PETROL HYBRID
TOYOTA,YARIS,TOYOTA,YARIS CROSS DESIGN HEV AUTO
TOYOTA,YARIS,TOYOTA,YARIS CROSS DYNAMIC HEV 4X4 A
TOYOTA,YARIS,TOYOTA,YARIS CROSS DYNAMIC HEV AUTO
TOYOTA,YARIS,TOYOTA,YARIS CROSS EXCEL HEV 4X4 AUTO
TOYOTA,YARIS,TOYOTA,YARIS CROSS EXCEL HEV AUT
TOYOTA,YARIS,TOYOTA,YARIS CROSS EXCEL HEV AUTO
