dmr_make,dmr_model,dk_vehicle_count,dk_sample_variants,proposed_dvsa_make,proposed_dvsa_model_token,uk_test_count,confidence,rule_fired,decision
VOLKSWAGEN,UP!,62570,1.0 MPI BMT 60; 1.0 MPI 60; 1.0 MPI BMT 60 HK 5 dørs,VOLKSWAGEN,UP,290489,medium,name_similarity_firsttoken,
VOLKSWAGEN,UP!,62570,1.0 MPI BMT 60; 1.0 MPI 60; 1.0 MPI BMT 60 HK 5 dørs,VOLKSWAGEN,UP!,56,high,name_similarity_firsttoken,
PEUGEOT,208,52719,1.6 BlueHDI 100 hk 5D; BlueHDi 100 5D; 1.2 VTi 5D,PEUGEOT,208,521212,exact,code_exact,
VOLKSWAGEN,POLO,44100,"1,0 TSI 95 DSG7; 1,0 TSI BlueMotion 95; 1,0 TSI 95",VOLKSWAGEN,POLO,1585668,exact,short_code_exact,
TOYOTA,AYGO,43773,1.0 VVT-i; 1.0 benzin (72 hk); 1.0 VVT-i MMT,TOYOTA,AYGO,625248,exact,short_code_exact,
TOYOTA,YARIS,39750,1.5Hybrid e-CVT; 1.5 Hybrid (116 hk) aut. gear; 1.0VVT-i,TOYOTA,YARIS,1114899,high,name_similarity_firsttoken,
TOYOTA,YARIS,39750,1.5Hybrid e-CVT; 1.5 Hybrid (116 hk) aut. gear; 1.0VVT-i,TOYOTA,AURIS,359334,medium,name_similarity_firsttoken,
TOYOTA,YARIS,39750,1.5Hybrid e-CVT; 1.5 Hybrid (116 hk) aut. gear; 1.0VVT-i,TOYOTA,YARIUS,2,high,name_similarity_firsttoken,
TOYOTA,YARIS,39750,1.5Hybrid e-CVT; 1.5 Hybrid (116 hk) aut. gear; 1.0VVT-i,TOYOTA,YARRIS,2,high,name_similarity_firsttoken,
TOYOTA,YARIS,39750,1.5Hybrid e-CVT; 1.5 Hybrid (116 hk) aut. gear; 1.0VVT-i,TOYOTA,AYRIS,2,medium,name_similarity_firsttoken,
CITROËN,C3,38244,"1.2 PureTech 83 5D; 1.2 PureTech 82 4-dørs m. bagklap; 1,6 4-dørs m. bagklap",CITROEN,C3,574211,exact,code_exact,
KIA,PICANTO,32895,"1.0 5-dørs Man. 5; 1.2 5-dørs Man. 5; 1,0 ISG",KIA,PICANTO,459638,high,name_similarity_firsttoken,
KIA,PICANTO,32895,"1.0 5-dørs Man. 5; 1.2 5-dørs Man. 5; 1,0 ISG",KIA,PINCATO,4,medium,name_similarity_firsttoken,
KIA,PICANTO,32895,"1.0 5-dørs Man. 5; 1.2 5-dørs Man. 5; 1,0 ISG",KIA,PACANTO,2,medium,name_similarity_firsttoken,
CITROËN,C1,31991,"1,0 4-dørs m. bagklap; 1 4-dørs m. bagklap; 1.0 VTi 72 hk 5D",CITROEN,C1,407006,exact,code_exact,
FORD,FIESTA,31965,"1.0 EcoBoost (100 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost Hybrid (125 HK) 5-dørs FWD M6",FORD,FIESTA,3479593,high,name_similarity_firsttoken,
FORD,FIESTA,31965,"1.0 EcoBoost (100 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost Hybrid (125 HK) 5-dørs FWD M6",FORD,FEISTA,18,medium,name_similarity_firsttoken,
FORD,FIESTA,31965,"1.0 EcoBoost (100 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost Hybrid (125 HK) 5-dørs FWD M6",FORD,FIEST,4,high,name_similarity_firsttoken,
FORD,FIESTA,31965,"1.0 EcoBoost (100 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost Hybrid (125 HK) 5-dørs FWD M6",FORD,FEIESTA,2,high,name_similarity_firsttoken,
FORD,FIESTA,31965,"1.0 EcoBoost (100 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Hatchback, 5 dørs Forhjulstræk Manuel; 1.0 EcoBoost Hybrid (125 HK) 5-dørs FWD M6",FORD,FISTA,1,high,name_similarity_firsttoken,
VOLKSWAGEN,GOLF,29976,1.5 TSI EVO 150 DSG7; 1.4 TSI BMT 125; 1.4 TSI BMT 122 HK 5 DØRS,VOLKSWAGEN,GOLF,2127313,exact,short_code_exact,
HYUNDAI,I10,29175,"1.0 (hatchback); 1.0 Hatchback; 1,2 FL",HYUNDAI,I10,599315,exact,code_exact,
SKODA,CITIGO,27868,1.0 MPI 60 HK 5-Dørs Hatchback; 1.0 MPI 60  5-Dørs; 1.0 MPI 60 HK 3-Dørs Hatchback,SKODA,CITIGO,120830,high,name_similarity_firsttoken,
