section_id,section_name,component_category,n_failures_2022_2025,bucket,basis
5800,Items Not Tested,Brake performance,133,administrative_or_other,"Old (pre-2018) hierarchy remnant, 'Items Not Tested' -- a measurement-incomplete marker, not a condition finding; 330 rows total in 2022-2025 class-4 data, immaterial"
5800,Items Not Tested,Emissions - Compression Ignition,98,administrative_or_other,"Old (pre-2018) hierarchy remnant, 'Items Not Tested' -- a measurement-incomplete marker, not a condition finding; 330 rows total in 2022-2025 class-4 data, immaterial"
5800,Items Not Tested,Emissions - Spark Ignition,64,administrative_or_other,"Old (pre-2018) hierarchy remnant, 'Items Not Tested' -- a measurement-incomplete marker, not a condition finding; 330 rows total in 2022-2025 class-4 data, immaterial"
5800,Items Not Tested,Headlamp aim,35,administrative_or_other,"Old (pre-2018) hierarchy remnant, 'Items Not Tested' -- a measurement-incomplete marker, not a condition finding; 330 rows total in 2022-2025 class-4 data, immaterial"
20000,Identification of the vehicle,Registration plates,587756,administrative_or_other,Identification of the vehicle: plates and VIN. Not a vehicle-condition finding of any kind
20000,Identification of the vehicle,Vehicle Identification Number,2235,administrative_or_other,Identification of the vehicle: plates and VIN. Not a vehicle-condition finding of any kind
20003,Brakes,Brake pads,3097566,consumable,"Scheduled wear item, replaced on a mileage/usage cycle regardless of vehicle build quality -- the brake-system analogue of tyre tread"
20003,Brakes,Service brake performance,2276925,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Rbt (sp),1821487,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Rigid brake pipes,1586541,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Brake discs,1442152,consumable,"Scheduled wear item, same wear cycle as pads"
20003,Brakes,Service brake imbalance,759443,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Parking brake performance,741189,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Anti-lock braking system,568031,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Flexible brake hoses,467599,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Lever,319907,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Electronic stability control,258021,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Brake performance not tested,211988,administrative_or_other,"rfr_desc 'unable to be tested'/'not tested' -- measurement not completed, not a defect finding"
20003,Brakes,Hand lever,168125,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Pedal,150294,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Hydraulic brake callipers,94950,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Parking (secondary brake performance),93225,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
20003,Brakes,Cable,87683,mechanical,"Brakes: hydraulic/pneumatic system integrity, performance and structural mounting -- a defect here reflects the braking SYSTEM's condition, not a scheduled wear item (see per-row overrides for the pads/discs/linings that ARE scheduled wear)"
