regime,basis,fuel_type,band_min,band_max,dkk_per_half_year,surcharge_dkk_per_half_year,note,verified_date,source_url
A,km_per_liter,Benzin,50.0,,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,50.0,,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,44.4,50.0,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,44.4,50.0,520,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,40.0,44.4,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,40.0,44.4,540,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,36.4,40.0,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,36.4,40.0,570,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,33.3,36.4,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,33.3,36.4,600,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,28.6,33.3,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,28.6,33.3,640,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,25.0,28.6,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,25.0,28.6,700,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,22.2,25.0,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,22.2,25.0,760,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,20.0,22.2,460,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,20.0,22.2,800,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,18.2,20.0,880,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,18.2,20.0,1220,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,16.7,18.2,1290,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,16.7,18.2,1630,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,15.4,16.7,1740,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,15.4,16.7,2080,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,14.3,15.4,2160,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,14.3,15.4,2500,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,13.3,14.3,2570,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,13.3,14.3,2910,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,12.5,13.3,2990,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,12.5,13.3,3330,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,11.8,12.5,3400,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,11.8,12.5,3740,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,11.1,11.8,3830,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,11.1,11.8,4180,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,10.5,11.1,4260,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,10.5,11.1,4600,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,10.0,10.5,4680,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,10.0,10.5,5020,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,9.1,10.0,5500,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,9.1,10.0,5840,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,8.3,9.1,6380,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,8.3,9.1,6720,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,7.7,8.3,7210,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,7.7,8.3,7550,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,7.1,7.7,8040,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,7.1,7.7,8380,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,6.7,7.1,8880,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,6.7,7.1,9230,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,6.3,6.7,9740,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,6.3,6.7,10080,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,5.9,6.3,10580,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,5.9,6.3,10920,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,5.6,5.9,11410,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,5.6,5.9,11760,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,5.3,5.6,12290,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,5.3,5.6,12630,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
A,km_per_liter,Benzin,5.0,5.3,13120,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
B,km_per_liter,Benzin,5.0,5.3,13470,,,2026-07-31,https://info.skat.dk/data.aspx?oid=2303932
