dmr_make,dmr_model,age_band,uk_n_all,uk_rate_all,no_n_all,no_rate_all,uk_n_mechanical,uk_rate_mechanical,no_n_mechanical,no_rate_mechanical,uk_n_consumable,uk_rate_consumable,no_n_consumable,no_rate_consumable
AUDI,A1 SPORTBACK,1,240600,0.8302,902,0.7474,240600,0.925,902,0.7883,240600,0.8848,902,0.9591
AUDI,A3,1,329089,0.8761,4115,0.7468,329089,0.969,4115,0.8327,329089,0.8996,4115,0.9207
AUDI,A3 Sportback,1,329089,0.8761,3698,0.745,329089,0.969,3698,0.8309,329089,0.8996,3698,0.9184
AUDI,A4 AVANT,1,184036,0.8555,1533,0.8571,184036,0.9382,1533,0.9267,184036,0.9052,1533,0.9615
AUDI,A5 SPORTBACK,1,120234,0.8557,233,0.8427,120234,0.9452,233,0.9214,120234,0.8999,233,0.9743
AUDI,A6 AVANT,1,103781,0.8908,526,0.8459,103781,0.9645,526,0.9425,103781,0.9211,526,0.9335
AUDI,Q2,1,135858,0.8927,1587,0.7983,135858,0.9741,1587,0.861,135858,0.9112,1587,0.9615
AUDI,Q3,1,164151,0.8833,911,0.7685,164151,0.9556,911,0.8393,164151,0.9193,911,0.9431
AUDI,Q5,1,132699,0.8816,1438,0.8547,132699,0.9477,1438,0.9496,132699,0.9259,1438,0.9422
BMW,1-Serie,1,333433,0.8573,314,0.7848,333433,0.9644,314,0.8725,333433,0.8819,314,0.943
BMW,2-Serie,1,213728,0.856,7055,0.8155,213728,0.962,7055,0.9082,213728,0.8833,7055,0.918
BMW,3-Serie,1,313391,0.8808,4744,0.7605,313391,0.9698,4744,0.9044,313391,0.9041,4744,0.9143
BMW,5-Serie,1,182728,0.8871,4543,0.829,182728,0.967,4543,0.9155,182728,0.9137,4543,0.9385
BMW,X1,1,145861,0.8812,7080,0.8569,145861,0.9702,7080,0.9384,145861,0.9045,7080,0.9245
BMW,X3,1,111810,0.8729,2884,0.8475,111810,0.966,2884,0.9481,111810,0.8993,2884,0.9265
BMW,X5,1,79157,0.8752,5474,0.7928,79157,0.9682,5474,0.934,79157,0.9015,5474,0.9096
CITROËN,BERLINGO,1,164898,0.7085,389,0.6762,164898,0.8895,389,0.7915,164898,0.7612,389,0.8691
CITROËN,C3,1,224597,0.7913,2416,0.5996,224597,0.9122,2416,0.6922,224597,0.847,2416,0.8822
CITROËN,C3 Aircross,1,60304,0.8159,782,0.6281,60304,0.9095,782,0.6762,60304,0.8798,782,0.9224
CITROËN,C4,1,166017,0.7553,2520,0.6137,166017,0.9042,2520,0.7652,166017,0.8107,2520,0.8399
CITROËN,C4 Cactus,1,48629,0.7387,1085,0.5877,48629,0.9058,1085,0.7276,48629,0.789,1085,0.8365
CITROËN,C4 PICASSO,1,14319,0.7918,823,0.6286,14319,0.9121,823,0.8006,14319,0.8478,823,0.8354
DACIA,Duster,1,104001,0.7462,767,0.587,104001,0.9076,767,0.6855,104001,0.7946,767,0.7933
FORD,C-MAX,1,65895,0.8271,235,0.7371,65895,0.9521,235,0.8259,65895,0.8597,235,0.9153
FORD,FIESTA,1,1025371,0.7889,3219,0.7834,1025371,0.9101,3219,0.8539,1025371,0.8447,3219,0.9348
FORD,FIESTA 5 DØRS,1,1025371,0.7889,3219,0.7834,1025371,0.9101,3219,0.8539,1025371,0.8447,3219,0.9348
FORD,FOCUS,1,636311,0.8434,6110,0.798,636311,0.9524,6110,0.8666,636311,0.877,6110,0.9316
FORD,FOCUS STATIONSVOGN,1,636311,0.8434,6110,0.798,636311,0.9524,6110,0.8666,636311,0.877,6110,0.9316
FORD,Focus,1,636311,0.8434,6110,0.798,636311,0.9524,6110,0.8666,636311,0.877,6110,0.9316
FORD,GALAXY,1,43215,0.8202,191,0.7081,43215,0.9595,191,0.8122,43215,0.8453,191,0.9357
FORD,KUGA,1,399644,0.849,5193,0.8205,399644,0.9678,5193,0.8685,399644,0.8705,5193,0.9581
FORD,MONDEO,1,99610,0.8651,1541,0.8291,99610,0.9766,1541,0.9004,99610,0.8812,1541,0.936
FORD,MONDEO STATIONCAR,1,99610,0.8651,1541,0.8291,99610,0.9766,1541,0.9004,99610,0.8812,1541,0.936
FORD,NY Focus,1,636311,0.8434,6110,0.798,636311,0.9524,6110,0.8666,636311,0.877,6110,0.9316
FORD,S-MAX,1,40516,0.8121,1786,0.7866,40516,0.9605,1786,0.8611,40516,0.8381,1786,0.9417
