source,level,age_band,bucket,n,share_of_band
NO,item,1,mechanical,74035,0.5174
NO,item,1,consumable,37774,0.264
NO,item,1,administrative_or_other,31287,0.2186
NO,item,2,mechanical,131856,0.4752
NO,item,2,consumable,71274,0.2569
NO,item,2,administrative_or_other,74332,0.2679
NO,item,3,mechanical,385737,0.4296
NO,item,3,consumable,278812,0.3105
NO,item,3,administrative_or_other,233373,0.2599
NO,item,4,mechanical,618646,0.4273
NO,item,4,consumable,492303,0.34
NO,item,4,administrative_or_other,336979,0.2327
NO,test_overlap,1,n_failed_tests,93181,
NO,test_overlap,1,has_mechanical,55916,0.6001
NO,test_overlap,1,has_consumable,29440,0.3159
NO,test_overlap,1,has_both,9126,0.0979
NO,test_overlap,1,has_neither_admin_only,16951,0.1819
NO,test_overlap,2,n_failed_tests,148007,
NO,test_overlap,2,has_mechanical,89775,0.6066
NO,test_overlap,2,has_consumable,49867,0.3369
NO,test_overlap,2,has_both,22215,0.1501
NO,test_overlap,2,has_neither_admin_only,30580,0.2066
NO,test_overlap,3,n_failed_tests,353399,
NO,test_overlap,3,has_mechanical,226592,0.6412
NO,test_overlap,3,has_consumable,166133,0.4701
NO,test_overlap,3,has_both,95259,0.2696
NO,test_overlap,3,has_neither_admin_only,55933,0.1583
NO,test_overlap,4,n_failed_tests,407310,
NO,test_overlap,4,has_mechanical,294680,0.7235
NO,test_overlap,4,has_consumable,246897,0.6062
NO,test_overlap,4,has_both,174030,0.4273
NO,test_overlap,4,has_neither_admin_only,39763,0.0976
UK,item,1,consumable,4124949,0.6838
UK,item,1,mechanical,1774993,0.2943
UK,item,1,administrative_or_other,132229,0.0219
UK,item,2,consumable,6259932,0.5398
UK,item,2,mechanical,5097019,0.4395
UK,item,2,administrative_or_other,239212,0.0206
UK,item,3,mechanical,7226200,0.4935
UK,item,3,consumable,7105300,0.4853
UK,item,3,administrative_or_other,310877,0.0212
UK,item,4,consumable,8111305,0.448
UK,item,4,administrative_or_other,412684,0.0228
UK,item,4,mechanical,9582946,0.5292
UK,test_overlap,1,n_failed_tests,3599037,
UK,test_overlap,1,has_mechanical,1303855,0.3623
UK,test_overlap,1,has_consumable,2706123,0.7519
UK,test_overlap,1,has_both,449279,0.1248
UK,test_overlap,1,has_neither_admin_only,38338,0.0107
UK,test_overlap,2,n_failed_tests,5897533,
UK,test_overlap,2,has_mechanical,3215323,0.5452
UK,test_overlap,2,has_consumable,3917063,0.6642
UK,test_overlap,2,has_both,1275877,0.2163
UK,test_overlap,2,has_neither_admin_only,41024,0.007
UK,test_overlap,3,n_failed_tests,6276164,
UK,test_overlap,3,has_mechanical,3974004,0.6332
UK,test_overlap,3,has_consumable,4135694,0.659
UK,test_overlap,3,has_both,1866286,0.2974
UK,test_overlap,3,has_neither_admin_only,32752,0.0052
UK,test_overlap,4,n_failed_tests,6530908,
UK,test_overlap,4,has_mechanical,4509791,0.6905
UK,test_overlap,4,has_consumable,4387110,0.6717
UK,test_overlap,4,has_both,2395890,0.3669
UK,test_overlap,4,has_neither_admin_only,29897,0.0046
