dmr_make,dmr_model,age_band,component_category,failure_rate_per_test,n_failures,n_tests
ALFA ROMEO,GIULIETTA,1,Condition,0.066,259,3927
ALFA ROMEO,GIULIETTA,1,Washers,0.0374,147,3927
ALFA ROMEO,GIULIETTA,1,Registration plate lamp(s),0.0224,88,3927
ALFA ROMEO,GIULIETTA,1,Headlamp aim,0.0214,84,3927
ALFA ROMEO,GIULIETTA,1,Tread depth,0.0211,83,3927
ALFA ROMEO,GIULIETTA,1,Wipers,0.0158,62,3927
ALFA ROMEO,GIULIETTA,1,Brake pads,0.0155,61,3927
ALFA ROMEO,GIULIETTA,1,Windscreen,0.0117,46,3927
ALFA ROMEO,GIULIETTA,1,Malfunction indicator lamp,0.0115,45,3927
ALFA ROMEO,GIULIETTA,1,Pins and bushes,0.0107,42,3927
ALFA ROMEO,GIULIETTA,1,Side repeaters,0.0089,35,3927
ALFA ROMEO,GIULIETTA,1,Service brake performance,0.0081,32,3927
ALFA ROMEO,GIULIETTA,1,Headlamp,0.0074,29,3927
ALFA ROMEO,GIULIETTA,1,Coil spring,0.0069,27,3927
ALFA ROMEO,GIULIETTA,1,Brake discs,0.0064,25,3927
ALFA ROMEO,GIULIETTA,1,Door condition,0.0061,24,3927
ALFA ROMEO,GIULIETTA,1,Ball joint dust cover,0.0043,17,3927
ALFA ROMEO,GIULIETTA,1,Service brake imbalance,0.0038,15,3927
ALFA ROMEO,GIULIETTA,1,Tyre pressure monitoring system,0.0038,15,3927
ALFA ROMEO,GIULIETTA,1,Catalyst emissions,0.0033,13,3927
ALFA ROMEO,GIULIETTA,1,Rbt (sp),0.0031,12,3927
ALFA ROMEO,GIULIETTA,1,Ball joint,0.0031,12,3927
ALFA ROMEO,GIULIETTA,1,Attachment,0.0031,12,3927
ALFA ROMEO,GIULIETTA,1,Linkage ball joint dust cover,0.0028,11,3927
ALFA ROMEO,GIULIETTA,1,Wheel bearings,0.0025,10,3927
ALFA ROMEO,GIULIETTA,1,Driver's view,0.0023,9,3927
ALFA ROMEO,GIULIETTA,1,Registration plates,0.002,8,3927
ALFA ROMEO,GIULIETTA,1,Mirrors,0.0018,7,3927
ALFA ROMEO,GIULIETTA,1,Position lamp,0.0015,6,3927
ALFA ROMEO,GIULIETTA,1,Joints,0.0015,6,3927
ALFA ROMEO,GIULIETTA,1,Steering rack,0.0013,5,3927
ALFA ROMEO,GIULIETTA,1,Headlamp aim not tested,0.0013,5,3927
