dmr_make,dmr_model,age_band,chapter,chapter_name,n_defects_2_3er,n_tests,defect_rate_per_test
FORD,FIESTA 5 DØRS,4,0,Identifikasjon av kjoretoyet (vehicle identification),82,7906,0.0104
OPEL,Mokka,3,0,Identifikasjon av kjoretoyet (vehicle identification),16,4582,0.0035
PEUGEOT,208,2,0,Identifikasjon av kjoretoyet (vehicle identification),7,2180,0.0032
MERCEDES-BENZ,E,3,0,Identifikasjon av kjoretoyet (vehicle identification),45,8181,0.0055
AUDI,A3,3,0,Identifikasjon av kjoretoyet (vehicle identification),33,11732,0.0028
VOLKSWAGEN,POLO,4,0,Identifikasjon av kjoretoyet (vehicle identification),65,11528,0.0056
PEUGEOT,5008,1,0,Identifikasjon av kjoretoyet (vehicle identification),3,4893,0.0006
PEUGEOT,2008,2,0,Identifikasjon av kjoretoyet (vehicle identification),5,3179,0.0016
VOLVO,V50,3,0,Identifikasjon av kjoretoyet (vehicle identification),16,3281,0.0049
SKODA,SUPERB COMBI,2,0,Identifikasjon av kjoretoyet (vehicle identification),13,5609,0.0023
BMW,X5,2,0,Identifikasjon av kjoretoyet (vehicle identification),6,3601,0.0017
KIA,CEED SW,3,0,Identifikasjon av kjoretoyet (vehicle identification),23,3585,0.0064
AUDI,Q5,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,1438,0.0
VOLVO,XC90,4,0,Identifikasjon av kjoretoyet (vehicle identification),13,1825,0.0071
MAZDA,2,4,0,Identifikasjon av kjoretoyet (vehicle identification),7,2075,0.0034
MERCEDES-BENZ,A-Klasse,1,0,Identifikasjon av kjoretoyet (vehicle identification),13,2726,0.0048
KIA,SPORTAGE,1,0,Identifikasjon av kjoretoyet (vehicle identification),4,1259,0.0032
AUDI,A4 AVANT,3,0,Identifikasjon av kjoretoyet (vehicle identification),23,2969,0.0077
TOYOTA,RAV4,4,0,Identifikasjon av kjoretoyet (vehicle identification),109,10666,0.0102
FORD,NY Focus,1,0,Identifikasjon av kjoretoyet (vehicle identification),6,6110,0.001
MAZDA,MAZDA3,4,0,Identifikasjon av kjoretoyet (vehicle identification),37,3328,0.0111
SKODA,SUPERB,3,0,Identifikasjon av kjoretoyet (vehicle identification),46,6121,0.0075
SKODA,FABIA,3,0,Identifikasjon av kjoretoyet (vehicle identification),22,3929,0.0056
MERCEDES-BENZ,C-Klasse,1,0,Identifikasjon av kjoretoyet (vehicle identification),5,3637,0.0014
TOYOTA,AVENSIS,1,0,Identifikasjon av kjoretoyet (vehicle identification),3,538,0.0056
TOYOTA,AYGO 3/5-DØRS,1,0,Identifikasjon av kjoretoyet (vehicle identification),2,689,0.0029
TOYOTA,AYGO,4,0,Identifikasjon av kjoretoyet (vehicle identification),18,3007,0.006
AUDI,A1 SPORTBACK,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,902,0.0
CITROËN,BERLINGO,3,0,Identifikasjon av kjoretoyet (vehicle identification),2,704,0.0028
OPEL,MERIVA,3,0,Identifikasjon av kjoretoyet (vehicle identification),4,854,0.0047
BMW,4-serie,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,85,0.0
AUDI,Q3,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,1293,0.0008
MAZDA,MAZDA2,2,0,Identifikasjon av kjoretoyet (vehicle identification),1,1120,0.0009
SUZUKI,ALTO,3,0,Identifikasjon av kjoretoyet (vehicle identification),0,285,0.0
FORD,C-MAX,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,235,0.0
CITROËN,C4 PICASSO,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,823,0.0
HYUNDAI,I10,4,0,Identifikasjon av kjoretoyet (vehicle identification),6,982,0.0061
CITROËN,DS3,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,90,0.0
KIA,VENGA,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,6,0.0
VOLKSWAGEN,Golf Sportsvan,3,0,Identifikasjon av kjoretoyet (vehicle identification),3,1676,0.0018
OPEL,Crossland X,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,177,0.0
FORD,B-MAX,4,0,Identifikasjon av kjoretoyet (vehicle identification),1,19,0.0526
OPEL,Grandland X,2,0,Identifikasjon av kjoretoyet (vehicle identification),0,125,0.0
VOLKSWAGEN,UP!,4,0,Identifikasjon av kjoretoyet (vehicle identification),0,234,0.0
SUZUKI,SX4,3,0,Identifikasjon av kjoretoyet (vehicle identification),19,6632,0.0029
MAZDA,CX-5,1,0,Identifikasjon av kjoretoyet (vehicle identification),6,6042,0.001
SUZUKI,SWIFT,1,0,Identifikasjon av kjoretoyet (vehicle identification),3,4184,0.0007
VOLVO,XC60,1,0,Identifikasjon av kjoretoyet (vehicle identification),5,16959,0.0003
