dmr_make,dmr_model,age_band,n_vehicles,diesel_pct,hybrid_pct,is_diesel_dominant,is_hybrid
ALFA ROMEO,GIULIETTA,1,21,1.0,0.0,True,False
ALFA ROMEO,GIULIETTA,2,373,0.126,0.0,False,False
ALFA ROMEO,GIULIETTA,3,451,0.2727,0.0,False,False
ALFA ROMEO,GIULIETTA,4,1631,0.2391,0.0,False,False
AUDI,A1 SPORTBACK,1,545,0.0,0.0,False,False
AUDI,A1 SPORTBACK,2,881,0.0897,0.0,False,False
AUDI,A1 SPORTBACK,3,1010,0.3455,0.0,False,False
AUDI,A1 SPORTBACK,4,1183,0.5283,0.0,True,False
AUDI,A3,1,188,0.0426,0.0,False,False
AUDI,A3,2,236,0.3008,0.0,False,False
AUDI,A3,3,344,0.5233,0.0,True,False
AUDI,A3,4,3184,0.6627,0.0,True,False
AUDI,A3 CABRIOLET,1,737,0.0,0.0,False,False
AUDI,A3 CABRIOLET,2,1398,0.025,0.0,False,False
AUDI,A3 CABRIOLET,3,1035,0.1758,0.0,False,False
AUDI,A3 CABRIOLET,4,140,0.2714,0.0,False,False
AUDI,A3 Limousine,1,544,0.1507,0.0,False,False
AUDI,A3 Limousine,2,1642,0.3197,0.0,False,False
AUDI,A3 Limousine,3,1529,0.6135,0.0,True,False
AUDI,A3 Limousine,4,143,0.6014,0.0,True,False
AUDI,A3 Sportback,1,3232,0.1061,0.0,False,False
AUDI,A3 Sportback,2,7443,0.3519,0.0003,False,False
AUDI,A3 Sportback,3,5621,0.6684,0.0043,True,False
AUDI,A3 Sportback,4,3262,0.7974,0.0,True,False
AUDI,A4 AVANT,1,3819,0.4205,0.0,False,False
AUDI,A4 AVANT,2,7944,0.5364,0.0,True,False
AUDI,A4 AVANT,3,5515,0.7516,0.0,True,False
AUDI,A4 AVANT,4,3978,0.7074,0.0,True,False
AUDI,A5 SPORTBACK,1,2494,0.2935,0.0,False,False
AUDI,A5 SPORTBACK,2,3463,0.4519,0.0,False,False
AUDI,A5 SPORTBACK,3,2428,0.5313,0.0,True,False
