dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
ALFA ROMEO,GIULIETTA,1,14423,0.8166,0.8205,False,14423,0.9302,0.9316,False,14423,0.8639,0.8671,False
ALFA ROMEO,GIULIETTA,2,33067,0.7256,0.734,False,33067,0.8578,0.8634,False,33067,0.8098,0.8159,False
ALFA ROMEO,GIULIETTA,3,40861,0.6252,0.646,False,40861,0.7748,0.7925,False,40861,0.7364,0.7514,False
ALFA ROMEO,GIULIETTA,4,12351,0.5706,0.5896,False,12351,0.706,0.7251,False,12351,0.7092,0.7223,False
AUDI,A1 SPORTBACK,1,240600,0.84,0.8302,False,240600,0.93,0.925,False,240600,0.8924,0.8848,False
AUDI,A1 SPORTBACK,2,276062,0.7625,0.7533,False,276062,0.8677,0.8619,False,276062,0.8514,0.8434,False
AUDI,A1 SPORTBACK,3,198126,0.6879,0.6843,False,198126,0.804,0.8004,False,198126,0.8035,0.7999,False
AUDI,A1 SPORTBACK,4,35105,0.6454,0.6449,False,35105,0.7532,0.7521,False,35105,0.7835,0.7822,False
AUDI,A3,1,329089,0.8708,0.8761,False,329089,0.9671,0.969,False,329089,0.8955,0.8996,False
AUDI,A3,2,434870,0.813,0.8258,False,434870,0.918,0.9257,False,434870,0.8666,0.8757,False
AUDI,A3,3,330699,0.7047,0.729,False,330699,0.8181,0.8381,False,330699,0.8084,0.8254,False
AUDI,A3,4,329091,0.6109,0.6369,False,329091,0.7161,0.741,False,329091,0.7586,0.78,False
AUDI,A3 CABRIOLET,1,329089,0.8708,0.8761,False,329089,0.9671,0.969,False,329089,0.8955,0.8996,False
AUDI,A3 CABRIOLET,2,434870,0.813,0.8258,False,434870,0.918,0.9257,False,434870,0.8666,0.8757,False
AUDI,A3 CABRIOLET,3,330699,0.7047,0.729,False,330699,0.8181,0.8381,False,330699,0.8084,0.8254,False
AUDI,A3 CABRIOLET,4,329091,0.6109,0.6369,False,329091,0.7161,0.741,False,329091,0.7586,0.78,False
AUDI,A3 Limousine,1,329089,0.8708,0.8761,False,329089,0.9671,0.969,False,329089,0.8955,0.8996,False
AUDI,A3 Limousine,2,434870,0.813,0.8258,False,434870,0.918,0.9257,False,434870,0.8666,0.8757,False
AUDI,A3 Limousine,3,330699,0.7047,0.729,False,330699,0.8181,0.8381,False,330699,0.8084,0.8254,False
AUDI,A3 Limousine,4,329091,0.6109,0.6369,False,329091,0.7161,0.741,False,329091,0.7586,0.78,False
AUDI,A3 Sportback,1,329089,0.8708,0.8761,False,329089,0.9671,0.969,False,329089,0.8955,0.8996,False
AUDI,A3 Sportback,2,434870,0.813,0.8258,False,434870,0.918,0.9257,False,434870,0.8666,0.8757,False
AUDI,A3 Sportback,3,330699,0.7047,0.729,False,330699,0.8181,0.8381,False,330699,0.8084,0.8254,False
AUDI,A3 Sportback,4,329091,0.6109,0.6369,False,329091,0.7161,0.741,False,329091,0.7586,0.78,False
AUDI,A4 AVANT,1,184036,0.8404,0.8555,False,184036,0.9273,0.9382,False,184036,0.8975,0.9052,False
AUDI,A4 AVANT,2,214851,0.773,0.8029,False,214851,0.8741,0.8938,False,214851,0.858,0.8784,False
AUDI,A4 AVANT,3,176038,0.719,0.7586,False,176038,0.8392,0.8685,False,176038,0.8105,0.8385,False
AUDI,A4 AVANT,4,238100,0.6466,0.685,False,238100,0.7552,0.791,False,238100,0.7755,0.8029,False
AUDI,A5 SPORTBACK,1,120234,0.8478,0.8557,False,120234,0.9407,0.9452,False,120234,0.8951,0.8999,False
AUDI,A5 SPORTBACK,2,125152,0.7915,0.8091,False,125152,0.9039,0.9155,False,125152,0.8543,0.8664,False
AUDI,A5 SPORTBACK,3,119471,0.7395,0.7621,False,119471,0.8628,0.8816,False,119471,0.8162,0.8305,False
AUDI,A5 SPORTBACK,4,82737,0.7014,0.7263,False,82737,0.8109,0.8333,False,82737,0.8059,0.8221,False
AUDI,A6 AVANT,1,103781,0.8775,0.8908,False,103781,0.9565,0.9645,False,103781,0.9127,0.9211,False
AUDI,A6 AVANT,2,130713,0.8304,0.8533,False,130713,0.9129,0.9288,False,130713,0.894,0.9074,False
AUDI,A6 AVANT,3,102351,0.7698,0.8004,False,102351,0.8734,0.896,False,102351,0.848,0.869,False
AUDI,A6 AVANT,4,93098,0.6842,0.7305,False,93098,0.8074,0.8444,False,93098,0.7807,0.8161,False
AUDI,Q2,1,135858,0.8978,0.8927,False,135858,0.9762,0.9741,False,135858,0.9153,0.9112,False
AUDI,Q2,2,23432,0.8721,0.8586,False,23432,0.9667,0.9598,False,23432,0.8953,0.8856,False
AUDI,Q2,3,3,1.0,,True,3,1.0,,True,3,1.0,,True
AUDI,Q3,1,164151,0.8836,0.8833,False,164151,0.9563,0.9556,False,164151,0.9193,0.9193,False
AUDI,Q3,2,166545,0.8041,0.8095,False,166545,0.8823,0.8853,False,166545,0.8919,0.8952,False
AUDI,Q3,3,76253,0.7246,0.7367,False,76253,0.8184,0.8271,False,76253,0.8443,0.8519,False
AUDI,Q3,4,3265,0.6928,0.7022,False,3265,0.7847,0.7916,False,3265,0.8257,0.8329,False
AUDI,Q5,1,132699,0.8758,0.8816,False,132699,0.9448,0.9477,False,132699,0.9223,0.9259,False
AUDI,Q5,2,111570,0.8288,0.8399,False,111570,0.904,0.9114,False,111570,0.9004,0.907,False
AUDI,Q5,3,67928,0.7701,0.7915,False,67928,0.8522,0.871,False,67928,0.8682,0.879,False
AUDI,Q5,4,32587,0.695,0.7256,False,32587,0.7717,0.8025,False,32587,0.8431,0.8585,False
BMW,1-Serie,1,333433,0.8518,0.8573,False,333433,0.9627,0.9644,False,333433,0.8774,0.8819,False
BMW,1-Serie,2,386176,0.7818,0.7964,False,386176,0.924,0.9313,False,386176,0.8251,0.8365,False
BMW,1-Serie,3,346722,0.7017,0.7194,False,346722,0.8487,0.8619,False,346722,0.7788,0.7915,False
BMW,1-Serie,4,278804,0.6565,0.6739,False,278804,0.7872,0.8026,False,278804,0.7642,0.7765,False
BMW,2-Serie,1,213728,0.8583,0.856,False,213728,0.9634,0.962,False,213728,0.8849,0.8833,False
BMW,2-Serie,2,147668,0.81,0.8071,False,147668,0.925,0.9223,False,147668,0.8581,0.8561,False
BMW,2-Serie,3,13126,0.7639,0.7596,False,13126,0.876,0.8702,False,13126,0.8397,0.837,False
BMW,2-Serie,4,2,1.0,,True,2,1.0,,True,2,1.0,,True
BMW,3-Serie,1,313391,0.8674,0.8808,False,313391,0.9637,0.9698,False,313391,0.8946,0.9041,False
BMW,3-Serie,2,382771,0.8045,0.8302,False,382771,0.9305,0.9447,False,382771,0.8461,0.8652,False
BMW,3-Serie,3,380196,0.7146,0.7446,False,380196,0.8476,0.8712,False,380196,0.7946,0.8169,False
BMW,3-Serie,4,406242,0.6718,0.696,False,406242,0.7872,0.808,False,406242,0.7833,0.8021,False
BMW,4-serie,1,163611,0.8613,0.8674,False,163611,0.9664,0.9689,False,163611,0.8875,0.892,False
BMW,4-serie,2,165374,0.8253,0.8347,False,165374,0.9381,0.9439,False,165374,0.8677,0.8736,False
BMW,4-serie,3,28892,0.7825,0.7882,False,28892,0.8951,0.8996,False,28892,0.8466,0.85,False
BMW,5-Serie,1,182728,0.8757,0.8871,False,182728,0.9584,0.967,False,182728,0.9082,0.9137,False
BMW,5-Serie,2,188468,0.8281,0.845,False,188468,0.9261,0.9391,False,188468,0.8808,0.8896,False
BMW,5-Serie,3,160217,0.7528,0.7764,False,160217,0.8681,0.8887,False,160217,0.8323,0.8472,False
BMW,5-Serie,4,134337,0.7069,0.7381,False,134337,0.811,0.8415,False,134337,0.8142,0.8335,False
BMW,X1,1,145861,0.8816,0.8812,False,145861,0.9707,0.9702,False,145861,0.9046,0.9045,False
BMW,X1,2,103202,0.8111,0.816,False,103202,0.9169,0.9194,False,103202,0.8668,0.8702,False
BMW,X1,3,70155,0.7247,0.7384,False,70155,0.8498,0.8596,False,70155,0.8136,0.8223,False
BMW,X1,4,23364,0.6906,0.7119,False,23364,0.8194,0.835,False,23364,0.7904,0.8047,False
BMW,X3,1,111810,0.8702,0.8729,False,111810,0.9649,0.966,False,111810,0.8973,0.8993,False
BMW,X3,2,86521,0.7828,0.7984,False,86521,0.915,0.9235,False,86521,0.8402,0.8511,False
BMW,X3,3,63204,0.727,0.7455,False,63204,0.8889,0.9008,False,63204,0.7893,0.8026,False
BMW,X3,4,36548,0.6785,0.7065,False,36548,0.7933,0.8185,False,36548,0.7894,0.8086,False
BMW,X5,1,79157,0.8688,0.8752,False,79157,0.9641,0.9682,False,79157,0.8979,0.9015,False
BMW,X5,2,69192,0.8543,0.8646,False,69192,0.9431,0.9504,False,69192,0.8964,0.9023,False
BMW,X5,3,49504,0.7852,0.8011,False,49504,0.8815,0.8965,False,49504,0.8607,0.8692,False
BMW,X5,4,60059,0.7007,0.7212,False,60059,0.8044,0.8244,False,60059,0.7983,0.8153,False
CHEVROLET,AVEO,2,3106,0.5892,0.5748,False,3106,0.6896,0.6773,False,3106,0.7891,0.7791,False
CHEVROLET,AVEO,3,15383,0.5221,0.4946,False,15383,0.626,0.6044,False,15383,0.7196,0.6897,False
CHEVROLET,AVEO,4,18379,0.4631,0.4272,False,18379,0.575,0.5446,False,18379,0.6517,0.605,False
CHEVROLET,SPARK,1,10,0.8,,True,10,0.9,,True,10,0.8,,True
CHEVROLET,SPARK,2,9714,0.5581,0.5451,False,9714,0.703,0.6931,False,9714,0.7191,0.7037,False
