dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
ALFA ROMEO,GIULIETTA,2,35,0.5714,,True,35,0.8,,True,35,0.7714,,True
ALFA ROMEO,GIULIETTA,3,258,0.4612,0.4506,False,258,0.7442,0.7378,False,258,0.6628,0.645,False
ALFA ROMEO,GIULIETTA,4,1,0.0,,True,1,1.0,,True,1,0.0,,True
AUDI,A1 SPORTBACK,1,902,0.755,0.7474,False,902,0.796,0.7883,False,902,0.9623,0.9591,False
AUDI,A1 SPORTBACK,2,1299,0.6336,0.6175,False,1299,0.7436,0.735,False,1299,0.9115,0.8944,False
AUDI,A1 SPORTBACK,3,3090,0.5291,0.4854,False,3090,0.6715,0.6344,False,3090,0.8621,0.8344,False
AUDI,A1 SPORTBACK,4,183,0.4645,0.4506,False,183,0.5847,0.5947,False,183,0.8525,0.7984,False
AUDI,A3,1,4115,0.7443,0.7468,False,4115,0.8311,0.8327,False,4115,0.9198,0.9207,False
AUDI,A3,2,9233,0.644,0.64,False,9233,0.7644,0.7668,False,9233,0.8957,0.89,False
AUDI,A3,3,11732,0.5549,0.546,False,11732,0.7353,0.7331,False,11732,0.8326,0.8202,False
AUDI,A3,4,8787,0.3471,0.3446,False,8787,0.5608,0.5576,False,8787,0.658,0.6489,False
AUDI,A3 CABRIOLET,1,7,0.7143,,True,7,0.7143,,True,7,0.8571,,True
AUDI,A3 CABRIOLET,2,39,0.6667,,True,39,0.7436,,True,39,0.9487,,True
AUDI,A3 CABRIOLET,3,103,0.5728,,True,103,0.7573,,True,103,0.8932,,True
AUDI,A3 CABRIOLET,4,166,0.3675,0.3546,False,166,0.6265,0.581,False,166,0.6928,0.6722,False
AUDI,A3 Limousine,1,109,0.7431,,True,109,0.8165,,True,109,0.9633,,True
AUDI,A3 Limousine,2,290,0.6621,0.6687,False,290,0.8172,0.8188,False,290,0.8828,0.8873,False
