dmr_make,dmr_model,age_band,n_periodisk_tests,n_pass,n_fail,n_strata_surviving,raw_pass_rate,standardized_pass_rate,reliability_unstable,meets_stability_floor_2500,meets_floor_500,meets_floor_1000,meets_floor_1500,meets_floor_2000,meets_floor_2500
VOLVO,V60,3,13953,8139,5814,5,0.5833,0.622,False,True,True,True,True,True,True
VOLVO,V40,3,13394,7656,5738,5,0.5716,0.5616,False,True,True,True,True,True,True
TOYOTA,YARIS 5-DØRS,1,16882,13410,3472,5,0.7943,0.7325,False,True,True,True,True,True,True
CITROËN,C 1,4,1119,357,762,4,0.319,0.244,False,False,True,True,False,False,False
SKODA,KODIAQ,2,2105,1676,429,4,0.7962,0.8122,False,False,True,True,True,True,False
NISSAN,MICRA,3,871,451,420,4,0.5178,0.4301,False,False,True,False,False,False,False
VOLKSWAGEN,GOLF,3,40607,23283,17324,5,0.5734,0.5582,False,True,True,True,True,True,True
BMW,3-Serie,4,10635,3305,7330,5,0.3108,0.3337,False,True,True,True,True,True,True
VOLKSWAGEN,TOURAN,4,10414,3385,7029,4,0.325,0.3694,False,True,True,True,True,True,True
VOLVO,XC90,4,1825,609,1216,3,0.3337,0.414,False,False,True,True,True,False,False
KIA,SPORTAGE,3,7796,2985,4811,5,0.3829,0.3903,False,True,True,True,True,True,True
OPEL,CORSA,4,3017,970,2047,5,0.3215,0.2336,False,True,True,True,True,True,True
FORD,GALAXY,3,1766,598,1168,4,0.3386,0.4029,False,False,True,True,True,False,False
MITSUBISHI,ASX,4,5149,2210,2939,5,0.4292,0.4245,False,True,True,True,True,True,True
VOLVO,V70,3,11477,6529,4948,5,0.5689,0.6351,False,True,True,True,True,True,True
AUDI,A1 SPORTBACK,4,183,85,98,3,0.4645,0.4506,False,False,False,False,False,False,False
FORD,FOCUS STATIONSVOGN,4,12012,3868,8144,5,0.322,0.315,False,True,True,True,True,True,True
NISSAN,Qashqai J11A,1,4798,3883,915,4,0.8093,0.8029,False,True,True,True,True,True,True
FIAT,500,3,2045,682,1363,5,0.3335,0.2839,False,False,True,True,True,True,False
HYUNDAI,Tucson,3,2331,1129,1202,5,0.4843,0.4729,False,False,True,True,True,True,False
AUDI,Q5,4,5189,2166,3023,4,0.4174,0.4549,False,True,True,True,True,True,True
SKODA,FABIA COMBI,1,2246,1694,552,3,0.7542,0.7406,False,False,True,True,True,True,False
BMW,X1,2,3404,2367,1037,5,0.6954,0.7022,False,True,True,True,True,True,True
MERCEDES-BENZ,A-Klasse,1,2726,2358,368,4,0.865,0.8518,False,True,True,True,True,True,True
SUZUKI,VITARA,1,3773,3344,429,4,0.8863,0.8699,False,True,True,True,True,True,True
BMW,X5,2,3601,2311,1290,5,0.6418,0.657,False,True,True,True,True,True,True
NISSAN,QASHQAI,2,7503,5078,2425,5,0.6768,0.6581,False,True,True,True,True,True,True
SKODA,FABIA,3,3929,1963,1966,5,0.4996,0.4474,False,True,True,True,True,True,True
NISSAN,QASHQAI,3,10874,4800,6074,5,0.4414,0.4234,False,True,True,True,True,True,True
TOYOTA,AVENSIS,4,20526,7135,13391,5,0.3476,0.3849,False,True,True,True,True,True,True
SKODA,SUPERB,1,6713,4552,2161,5,0.6781,0.7083,False,True,True,True,True,True,True
MERCEDES-BENZ,E-Klasse,3,8181,3876,4305,5,0.4738,0.5341,False,True,True,True,True,True,True
FORD,FIESTA,4,7906,2272,5634,5,0.2874,0.2516,False,True,True,True,True,True,True
SEAT,IBIZA,1,162,106,56,2,0.6543,,True,False,False,False,False,False,False
SKODA,RAPID,3,1667,828,839,5,0.4967,0.4589,False,False,True,True,True,False,False
MAZDA,MAZDA3,1,1523,1170,353,3,0.7682,0.747,False,False,True,True,True,False,False
TOYOTA,AYGO 5-DØRS,4,3007,959,2048,5,0.3189,0.228,False,True,True,True,True,True,True
FORD,Focus,4,12012,3868,8144,5,0.322,0.315,False,True,True,True,True,True,True
FORD,FOCUS,4,12012,3868,8144,5,0.322,0.315,False,True,True,True,True,True,True
BMW,X3,1,2884,2441,443,4,0.8464,0.8475,False,True,True,True,True,True,True
KIA,PICANTO,3,3887,1590,2297,5,0.4091,0.298,False,True,True,True,True,True,True
CITROËN,C3 PICASSO,4,833,241,592,4,0.2893,0.2622,False,False,True,False,False,False,False
CITROËN,C4,4,2439,641,1798,4,0.2628,0.2561,False,False,True,True,True,True,False
AUDI,A4 AVANT,1,1533,1288,245,4,0.8402,0.8571,False,False,True,True,True,False,False
VOLVO,XC90,2,5537,3697,1840,5,0.6677,0.7068,False,True,True,True,True,True,True
BMW,1-Serie,3,5856,2802,3054,5,0.4785,0.4737,False,True,True,True,True,True,True
PEUGEOT,107,3,862,358,504,4,0.4153,0.3235,False,False,True,False,False,False,False
MERCEDES-BENZ,C,3,6797,3463,3334,5,0.5095,0.5207,False,True,True,True,True,True,True
VOLKSWAGEN,PASSAT VARIANT,1,11253,7930,3323,5,0.7047,0.7282,False,True,True,True,True,True,True
KIA,SPORTAGE,4,1242,380,862,4,0.306,0.3128,False,False,True,True,False,False,False
HYUNDAI,I20,4,3876,1544,2332,5,0.3983,0.3069,False,True,True,True,True,True,True
SUZUKI,IGNIS,2,813,535,278,4,0.6581,0.5707,False,False,True,False,False,False,False
MITSUBISHI,COLT,4,3136,1192,1944,5,0.3801,0.2626,False,True,True,True,True,True,True
PEUGEOT,308,3,4837,2269,2568,5,0.4691,0.4418,False,True,True,True,True,True,True
MERCEDES-BENZ,GLA,3,1359,958,401,5,0.7049,0.6719,False,False,True,True,False,False,False
HONDA,CR-V,3,6725,4466,2259,5,0.6641,0.6702,False,True,True,True,True,True,True
HYUNDAI,I40,4,753,221,532,3,0.2935,0.2917,False,False,True,False,False,False,False
MITSUBISHI,ASX,1,452,380,72,3,0.8407,0.8374,False,False,False,False,False,False,False
SUZUKI,SX4 COMBIBACK,4,4809,1874,2935,5,0.3897,0.3195,False,True,True,True,True,True,True
SKODA,OCTAVIA,3,19319,9649,9670,5,0.4995,0.5284,False,True,True,True,True,True,True
HYUNDAI,I10,3,1046,474,572,4,0.4532,0.3127,False,False,True,True,False,False,False
TOYOTA,AYGO 3/5-DØRS,1,689,554,135,2,0.8041,,True,False,True,False,False,False,False
FORD,FOCUS,2,5076,3477,1599,5,0.685,0.6816,False,True,True,True,True,True,True
FORD,FOCUS,3,15257,7159,8098,5,0.4692,0.4713,False,True,True,True,True,True,True
SKODA,KODIAQ,1,7893,6522,1371,5,0.8263,0.8383,False,True,True,True,True,True,True
KIA,Niro,2,2639,1837,802,5,0.6961,0.6792,False,True,True,True,True,True,True
VOLVO,XC90,3,1135,627,508,4,0.5524,0.5975,False,False,True,True,False,False,False
PEUGEOT,308,4,4655,1415,3240,5,0.304,0.2762,False,True,True,True,True,True,True
OPEL,ASTRA SPORTS TOURER,4,979,378,601,4,0.3861,0.3779,False,False,True,False,False,False,False
SKODA,SUPERB COMBI,3,6121,2411,3710,4,0.3939,0.4402,False,True,True,True,True,True,True
TOYOTA,RAV4,1,29243,24865,4378,5,0.8503,0.8498,False,True,True,True,True,True,True
MAZDA,MAZDA3,2,2010,1273,737,5,0.6333,0.6234,False,False,True,True,True,True,False
FORD,NY Focus,3,15257,7159,8098,5,0.4692,0.4713,False,True,True,True,True,True,True
FORD,Focus,3,15257,7159,8098,5,0.4692,0.4713,False,True,True,True,True,True,True
TOYOTA,AVENSIS STW,3,12867,7225,5642,5,0.5615,0.5936,False,True,True,True,True,True,True
MERCEDES-BENZ,B-Klasse,4,4180,1259,2921,5,0.3012,0.2731,False,True,True,True,True,True,True
PEUGEOT,3008,1,7489,5616,1873,4,0.7499,0.7462,False,True,True,True,True,True,True
MITSUBISHI,OUTLANDER,2,22180,13721,8459,5,0.6186,0.6458,False,True,True,True,True,True,True
VOLVO,V60,2,6546,4894,1652,5,0.7476,0.7618,False,True,True,True,True,True,True
VOLVO,V40,2,6391,4430,1961,5,0.6932,0.6842,False,True,True,True,True,True,True
FORD,Focus,1,6110,4914,1196,4,0.8043,0.798,False,True,True,True,True,True,True
VOLKSWAGEN,PASSAT VARIANT,4,15462,5053,10409,4,0.3268,0.3582,False,True,True,True,True,True,True
CITROËN,DS3,3,1430,426,1004,5,0.2979,0.2836,False,False,True,True,False,False,False
BMW,3-Serie,2,3950,2530,1420,5,0.6405,0.6635,False,True,True,True,True,True,True
HONDA,CR-V,1,1749,1500,249,4,0.8576,0.8564,False,False,True,True,True,False,False
MITSUBISHI,SPACE STAR,2,910,702,208,4,0.7714,0.6882,False,False,True,False,False,False,False
TOYOTA,VERSO,3,3553,1998,1555,5,0.5623,0.5148,False,True,True,True,True,True,True
VOLKSWAGEN,PASSAT,4,15462,5053,10409,4,0.3268,0.3582,False,True,True,True,True,True,True
MERCEDES-BENZ,A-Klasse,2,2268,1622,646,5,0.7152,0.6911,False,False,True,True,True,True,False
MAZDA,CX-3,1,2711,2218,493,4,0.8181,0.8055,False,True,True,True,True,True,True
PEUGEOT,5008,3,1911,621,1290,4,0.325,0.3694,False,False,True,True,True,False,False
AUDI,Q2,2,722,484,238,4,0.6704,0.6474,False,False,True,False,False,False,False
VOLKSWAGEN,CADDY,2,818,439,379,5,0.5367,0.5657,False,False,True,False,False,False,False
HYUNDAI,I10,4,982,404,578,4,0.4114,0.281,False,False,True,False,False,False,False
CHEVROLET,SPARK,4,21,10,11,0,0.4762,,True,False,False,False,False,False,False
PEUGEOT,107,4,1880,582,1298,5,0.3096,0.1728,False,False,True,True,True,False,False
PEUGEOT,3008,3,3530,1435,2095,5,0.4065,0.4048,False,True,True,True,True,True,True
CITROËN,C4 PICASSO,3,1484,504,980,4,0.3396,0.3534,False,False,True,True,False,False,False
MAZDA,3,4,3328,1137,2191,5,0.3416,0.3098,False,True,True,True,True,True,True
SUZUKI,VITARA,2,3777,2883,894,5,0.7633,0.7425,False,True,True,True,True,True,True
MAZDA,CX-3,3,1002,661,341,4,0.6597,0.6149,False,False,True,True,False,False,False
HYUNDAI,i10 AC3,4,982,404,578,4,0.4114,0.281,False,False,True,False,False,False,False
PEUGEOT,308,1,1141,730,411,3,0.6398,0.646,False,False,True,True,False,False,False
OPEL,MERIVA,4,1312,449,863,5,0.3422,0.2943,False,False,True,True,False,False,False
HYUNDAI,I 10,4,982,404,578,4,0.4114,0.281,False,False,True,False,False,False,False
MITSUBISHI,COLT,3,1264,649,615,5,0.5134,0.3992,False,False,True,True,False,False,False
VOLKSWAGEN,PASSAT,1,11253,7930,3323,5,0.7047,0.7282,False,True,True,True,True,True,True
DACIA,Duster,1,767,450,317,3,0.5867,0.587,False,False,True,False,False,False,False
FORD,KUGA,4,5780,2096,3684,4,0.3626,0.39,False,True,True,True,True,True,True
RENAULT,CLIO,4,517,116,401,4,0.2244,0.2376,False,False,True,False,False,False,False
BMW,1-Serie,2,1319,837,482,5,0.6346,0.6303,False,False,True,True,False,False,False
PEUGEOT,508,4,1566,608,958,4,0.3883,0.4054,False,False,True,True,True,False,False
TOYOTA,RAV4,3,11242,6723,4519,5,0.598,0.607,False,True,True,True,True,True,True
OPEL,Mokka,1,1060,891,169,3,0.8406,0.8247,False,False,True,True,False,False,False
FORD,MONDEO,3,9588,4419,5169,5,0.4609,0.5284,False,True,True,True,True,True,True
MERCEDES-BENZ,A-Klasse,4,2238,733,1505,5,0.3275,0.2707,False,False,True,True,True,True,False
KIA,Stonic,1,630,526,104,3,0.8349,0.7859,False,False,True,False,False,False,False
HONDA,CR-V,2,2570,1986,584,5,0.7728,0.7803,False,True,True,True,True,True,True
VOLVO,V40,1,3389,2648,741,4,0.7814,0.7835,False,True,True,True,True,True,True
TOYOTA,RAV4,4,10666,4225,6441,5,0.3961,0.4166,False,True,True,True,True,True,True
TOYOTA,COROLLA,1,9061,7496,1565,5,0.8273,0.8043,False,True,True,True,True,True,True
NISSAN,X-TRAIL,2,2651,1471,1180,5,0.5549,0.5917,False,True,True,True,True,True,True
SUZUKI,ALTO,3,285,104,181,3,0.3649,0.3116,False,False,False,False,False,False,False
CHEVROLET,SPARK,3,308,80,228,3,0.2597,0.2083,False,False,False,False,False,False,False
HYUNDAI,Tucson,2,2353,1608,745,5,0.6834,0.6858,False,False,True,True,True,True,False
BMW,X5,1,5474,4259,1215,4,0.778,0.7928,False,True,True,True,True,True,True
SUZUKI,IGNIS,4,390,134,256,3,0.3436,0.2586,False,False,False,False,False,False,False
MITSUBISHI,SPACE STAR,1,320,275,45,2,0.8594,,True,False,False,False,False,False,False
SKODA,FABIA COMBI,2,3224,2022,1202,5,0.6272,0.5917,False,True,True,True,True,True,True
AUDI,A3 CABRIOLET,2,39,26,13,1,0.6667,,True,False,False,False,False,False,False
FORD,C-MAX,2,749,509,240,4,0.6796,0.6635,False,False,True,False,False,False,False
CITROËN,C1,1,58,42,16,1,0.7241,,True,False,False,False,False,False,False
AUDI,A3 Limousine,3,391,226,165,4,0.578,0.5605,False,False,False,False,False,False,False
KIA,CEED,2,1150,664,486,5,0.5774,0.5663,False,False,True,True,False,False,False
MERCEDES-BENZ,C,1,3637,2952,685,5,0.8117,0.8214,False,True,True,True,True,True,True
NISSAN,JUKE,1,107,88,19,2,0.8224,,True,False,False,False,False,False,False
FORD,FOCUS STATIONSVOGN,1,6110,4914,1196,4,0.8043,0.798,False,True,True,True,True,True,True
HYUNDAI,I20,1,1113,907,206,3,0.8149,0.787,False,False,True,True,False,False,False
BMW,2-Serie,1,7055,5880,1175,4,0.8335,0.8155,False,True,True,True,True,True,True
VOLKSWAGEN,UP!,2,1503,986,517,4,0.656,0.5671,False,False,True,True,True,False,False
BMW,2-Serie,2,5966,3900,2066,5,0.6537,0.6298,False,True,True,True,True,True,True
SKODA,FABIA,1,2246,1694,552,3,0.7542,0.7406,False,False,True,True,True,True,False
MAZDA,MAZDA6,1,1078,830,248,4,0.7699,0.7831,False,False,True,True,False,False,False
CITROËN,C1,4,1119,357,762,4,0.319,0.244,False,False,True,True,False,False,False
FORD,FIESTA 5 DØRS,1,3219,2636,583,3,0.8189,0.7834,False,True,True,True,True,True,True
FORD,S-MAX,1,1786,1355,431,5,0.7587,0.7866,False,False,True,True,True,False,False
ALFA ROMEO,GIULIETTA,2,35,20,15,1,0.5714,,True,False,False,False,False,False,False
HONDA,JAZZ,3,1643,1004,639,5,0.6111,0.5194,False,False,True,True,True,False,False
PEUGEOT,206 +,4,143,40,103,3,0.2797,0.1801,False,False,False,False,False,False,False
HYUNDAI,I30CW,3,164,66,98,3,0.4024,0.3876,False,False,False,False,False,False,False
VOLVO,V50,4,11296,3399,7897,5,0.3009,0.3229,False,True,True,True,True,True,True
VOLKSWAGEN,TOURAN,3,5455,2318,3137,4,0.4249,0.4646,False,True,True,True,True,True,True
CITROËN,C4 PICASSO,1,823,501,322,4,0.6087,0.6286,False,False,True,False,False,False,False
KIA,VENGA,2,273,180,93,3,0.6593,0.5921,False,False,False,False,False,False,False
PEUGEOT,508,2,919,495,424,4,0.5386,0.576,False,False,True,False,False,False,False
HYUNDAI,I20,2,2116,1461,655,4,0.6905,0.6465,False,False,True,True,True,True,False
FIAT,Punto S7,3,91,22,69,2,0.2418,,True,False,False,False,False,False,False
BMW,X1,3,5709,2747,2962,5,0.4812,0.4934,False,True,True,True,True,True,True
BMW,1-Serie,1,314,244,70,4,0.7771,0.7848,False,False,False,False,False,False,False
AUDI,A3 CABRIOLET,3,103,59,44,2,0.5728,,True,False,False,False,False,False,False
VOLKSWAGEN,TIGUAN,4,11058,4474,6584,4,0.4046,0.4298,False,True,True,True,True,True,True
SKODA,FABIA COMBI,3,3929,1963,1966,5,0.4996,0.4474,False,True,True,True,True,True,True
BMW,5-Serie,2,3263,2094,1169,5,0.6417,0.6759,False,True,True,True,True,True,True
VOLKSWAGEN,UP!,4,234,110,124,3,0.4701,0.3556,False,False,False,False,False,False,False
TOYOTA,Aygo X,2,608,355,253,4,0.5839,0.4647,False,False,True,False,False,False,False
MERCEDES-BENZ,GLA,1,938,794,144,3,0.8465,0.8205,False,False,True,False,False,False,False
RENAULT,MEGANE SPORT TOURER,2,326,182,144,3,0.5583,0.5413,False,False,False,False,False,False,False
HONDA,CIVIC,2,1171,866,305,5,0.7395,0.7253,False,False,True,True,False,False,False
SEAT,Ibiza GP2,4,7,0,7,0,0.0,,True,False,False,False,False,False,False
TOYOTA,AURIS,4,14992,5689,9303,5,0.3795,0.3404,False,True,True,True,True,True,True
SKODA,SUPERB,3,6121,2411,3710,4,0.3939,0.4402,False,True,True,True,True,True,True
RENAULT,MEGANE SPORT TOURER,3,1261,327,934,4,0.2593,0.2603,False,False,True,True,False,False,False
FIAT,PANDA,4,101,20,81,3,0.198,0.1339,False,False,False,False,False,False,False
MAZDA,MAZDA2,1,625,548,77,2,0.8768,,True,False,True,False,False,False,False
