dmr_make,dmr_model,age_band,reliability_source_count,reliability_agreement,combined_reliability_z,combined_reliability_variance,reliability_effective_n,uk_z,no_z,reliability_confidence
ALFA ROMEO,GIULIETTA,1,1,,-0.4212,0.00512,14423,-0.4212,,medium
ALFA ROMEO,GIULIETTA,2,1,,-0.3856,0.001099,33067,-0.3856,,medium
ALFA ROMEO,GIULIETTA,3,1,,-0.2144,0.000896,40861,-0.2144,,medium
ALFA ROMEO,GIULIETTA,4,1,,0.0227,0.003483,12351,0.0227,,medium
AUDI,A1 SPORTBACK,1,1,,-0.1992,0.000321,240600,-0.1992,,medium
AUDI,A1 SPORTBACK,2,1,,-0.1158,0.000138,276062,-0.1158,,medium
AUDI,A1 SPORTBACK,3,2,0.4096,0.2758,0.000192,201216,0.2822,-0.1274,high
AUDI,A1 SPORTBACK,4,1,,0.7815,0.001295,35105,0.7815,,medium
AUDI,A3,1,2,1.9609,0.9616,0.000296,333204,1.0176,-0.9434,low
AUDI,A3,2,2,1.4445,1.0223,0.000111,444103,1.0561,-0.3884,low
AUDI,A3,3,2,0.282,0.8978,0.000123,342431,0.9083,0.6262,high
AUDI,A3,4,2,0.4637,0.6579,0.000133,337878,0.6708,0.2071,high
AUDI,A3 CABRIOLET,1,1,,1.0176,0.000304,329089,1.0176,,medium
AUDI,A3 CABRIOLET,2,1,,1.0561,0.000113,434870,1.0561,,medium
AUDI,A3 CABRIOLET,3,1,,0.9083,0.000128,330699,0.9083,,medium
AUDI,A3 CABRIOLET,4,1,,0.6708,0.000137,329091,0.6708,,medium
AUDI,A3 Limousine,1,1,,1.0176,0.000304,329089,1.0176,,medium
AUDI,A3 Limousine,2,1,,1.0561,0.000113,434870,1.0561,,medium
AUDI,A3 Limousine,3,1,,0.9083,0.000128,330699,0.9083,,medium
AUDI,A3 Limousine,4,1,,0.6708,0.000137,329091,0.6708,,medium
AUDI,A3 Sportback,1,2,1.9879,0.9662,0.000297,332787,1.0176,-0.9703,low
AUDI,A3 Sportback,2,2,1.4638,1.023,0.000111,443771,1.0561,-0.4076,low
AUDI,A3 Sportback,3,2,0.0458,0.9069,0.000124,339746,0.9083,0.8624,high
AUDI,A3 Sportback,4,1,,0.6708,0.000137,329091,0.6708,,medium
AUDI,A4 AVANT,1,1,,0.4292,0.000478,184036,0.4292,,medium
AUDI,A4 AVANT,2,1,,0.6522,0.000209,214851,0.6522,,medium
AUDI,A4 AVANT,3,2,0.1825,1.353,0.000255,179007,1.3565,1.1739,high
AUDI,A4 AVANT,4,1,,1.3641,0.000203,238100,1.3641,,medium
AUDI,A5 SPORTBACK,1,1,,0.4372,0.000733,120234,0.4372,,medium
AUDI,A5 SPORTBACK,2,1,,0.7578,0.000367,125152,0.7578,,medium
AUDI,A5 SPORTBACK,3,1,,1.412,0.000386,119471,1.412,,medium
AUDI,A5 SPORTBACK,4,1,,2.008,0.000633,82737,2.008,,medium
AUDI,A6 AVANT,1,1,,1.4855,0.001076,103781,1.4855,,medium
AUDI,A6 AVANT,2,1,,1.5991,0.000434,130713,1.5991,,medium
AUDI,A6 AVANT,3,1,,2.0633,0.000512,102351,2.0633,,medium
AUDI,A6 AVANT,4,1,,2.0749,0.000568,93098,2.0749,,medium
