dmr_make,dmr_model,age_band,strata_merged,n_tests,pass_rate,reference_weight
ALFA ROMEO,GIULIETTA,1,1,3549,0.8783,0.3006
ALFA ROMEO,GIULIETTA,1,2,7818,0.8134,0.5074
ALFA ROMEO,GIULIETTA,1,3,2528,0.7658,0.1467
ALFA ROMEO,GIULIETTA,1,4+5+6,528,0.6932,0.0454
ALFA ROMEO,GIULIETTA,2,1,1865,0.8568,0.0994
ALFA ROMEO,GIULIETTA,2,2,12200,0.7732,0.3905
ALFA ROMEO,GIULIETTA,2,3,12631,0.7036,0.3331
ALFA ROMEO,GIULIETTA,2,4,4926,0.6486,0.1222
ALFA ROMEO,GIULIETTA,2,5,1171,0.6132,0.036
ALFA ROMEO,GIULIETTA,2,6,274,0.5949,0.0189
ALFA ROMEO,GIULIETTA,3,1,554,0.8448,0.0416
ALFA ROMEO,GIULIETTA,3,2,5574,0.7356,0.2241
ALFA ROMEO,GIULIETTA,3,3,14370,0.6438,0.3476
ALFA ROMEO,GIULIETTA,3,4,12974,0.5897,0.2389
ALFA ROMEO,GIULIETTA,3,5,5551,0.5552,0.099
ALFA ROMEO,GIULIETTA,3,6,1838,0.5413,0.0488
ALFA ROMEO,GIULIETTA,4,1+2,853,0.7304,0.161
ALFA ROMEO,GIULIETTA,4,3,3018,0.607,0.2841
ALFA ROMEO,GIULIETTA,4,4,4666,0.5459,0.2883
ALFA ROMEO,GIULIETTA,4,5,2690,0.5465,0.167
ALFA ROMEO,GIULIETTA,4,6,1124,0.5071,0.0996
AUDI,A1 SPORTBACK,1,1,83729,0.8928,0.3006
AUDI,A1 SPORTBACK,1,2,131120,0.822,0.5074
AUDI,A1 SPORTBACK,1,3,23105,0.7639,0.1467
AUDI,A1 SPORTBACK,1,4,2311,0.7261,0.0315
AUDI,A1 SPORTBACK,1,5+6,335,0.7104,0.0139
AUDI,A1 SPORTBACK,2,1,26645,0.8728,0.0994
AUDI,A1 SPORTBACK,2,2,127004,0.7907,0.3905
AUDI,A1 SPORTBACK,2,3,94635,0.7219,0.3331
AUDI,A1 SPORTBACK,2,4,23217,0.6687,0.1222
AUDI,A1 SPORTBACK,2,5,3828,0.6544,0.036
AUDI,A1 SPORTBACK,2,6,733,0.6385,0.0189
AUDI,A1 SPORTBACK,3,1,6934,0.8591,0.0416
AUDI,A1 SPORTBACK,3,2,45032,0.7666,0.2241
AUDI,A1 SPORTBACK,3,3,79888,0.6833,0.3476
AUDI,A1 SPORTBACK,3,4,49393,0.6294,0.2389
AUDI,A1 SPORTBACK,3,5,13792,0.5981,0.099
AUDI,A1 SPORTBACK,3,6,3087,0.6061,0.0488
AUDI,A1 SPORTBACK,4,1,573,0.8237,0.0227
AUDI,A1 SPORTBACK,4,2,4249,0.7566,0.1383
AUDI,A1 SPORTBACK,4,3,11114,0.6604,0.2841
AUDI,A1 SPORTBACK,4,4,12310,0.6165,0.2883
AUDI,A1 SPORTBACK,4,5,5415,0.5913,0.167
AUDI,A1 SPORTBACK,4,6,1444,0.5748,0.0996
AUDI,A3,1,1,68495,0.9139,0.3006
AUDI,A3,1,2,184497,0.8731,0.5074
AUDI,A3,1,3,61467,0.8328,0.1467
AUDI,A3,1,4,11818,0.8035,0.0315
AUDI,A3,1,5,2319,0.7874,0.0089
AUDI,A3,1,6,493,0.789,0.0049
AUDI,A3,2,1,20517,0.913,0.0994
AUDI,A3,2,2,140431,0.8594,0.3905
AUDI,A3,2,3,168081,0.7999,0.3331
AUDI,A3,2,4,75220,0.7589,0.1222
AUDI,A3,2,5,23553,0.7424,0.036
AUDI,A3,2,6,7068,0.7187,0.0189
AUDI,A3,3,1,4487,0.8932,0.0416
AUDI,A3,3,2,38523,0.8014,0.2241
AUDI,A3,3,3,98502,0.7273,0.3476
AUDI,A3,3,4,103279,0.6829,0.2389
AUDI,A3,3,5,57990,0.6579,0.099
AUDI,A3,3,6,27918,0.6389,0.0488
AUDI,A3,4,1,1899,0.8299,0.0227
AUDI,A3,4,2,16588,0.7309,0.1383
AUDI,A3,4,3,57528,0.6577,0.2841
AUDI,A3,4,4,97186,0.6075,0.2883
