dmr_make,dmr_model,age_band,band_years,approx_age_years,price_bracket_id,price_bracket_label,entry_price_dkk,entry_price_reference_km,exit_age_band,hold_years,shorter_than_6yr_horizon,horizon_available,resale_price_dkk,mileage_adjustment_factor,depreciation_dkk,depreciation_available,fuel_total_dkk,ejerafgift_total_dkk,repair_total_dkk,tco_total_dkk,tco_per_year,running_cost_per_year,standardized_pass_rate,raw_pass_rate,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,engagement_score,reliability_unstable,meets_stability_floor,dk_vehicle_count,n_nt_tests,price_n_listings,price_pooled_at_brand,price_calibration_factor,price_confidence,donor_model,excluded_from_rank,excluded_from_running_cost_rank,exclusion_reason,is_hybrid,is_diesel_dominant,cost_rank_in_group,cost_tier,value_for_money_score,value_for_money_weight_cost,value_for_money_weight_engagement,value_for_money_rank_in_group,value_for_money_tier,running_cost_rank_overall,running_cost_tier
HYUNDAI,I10,1,2020-2022,5.0,2,"50,000-90,000 DKK",70386,105250,3,6.0,False,True,35039,0.8002,35347,True,58995,8400,5404,108145,18024,12133,0.7971,0.8297,0.3002,9832.4248,1400.0305,0.2478,False,True,7859,226109,107,False,0.6677,high,,False,False,,False,False,12,S,0.4748,0.5,0.5,85,B,56,A
HYUNDAI,I10,2,2017-2019,8.0,2,"50,000-90,000 DKK",52122,139375,4,6.5,False,True,26694,0.8906,25428,True,65103,9097,9777,109405,16832,12920,0.7059,0.7602,0.5014,10015.8676,1399.4927,0.2705,False,True,7570,263371,107,False,0.6677,high,,False,False,,False,False,5,S,0.5144,0.5,0.5,68,B,82,A
HYUNDAI,I10,3,2014-2016,11.0,1,"Up to 50,000 DKK",43786,139375,4,3.5,True,True,31942,1.0657,11844,True,41138,3220,8866,65069,18591,15207,0.5959,0.6636,0.8444,11753.8552,920.0,0.2436,False,True,9314,240058,107,False,0.6677,high,,False,False,,False,False,39,B,0.28,0.5,0.5,67,C,193,B
HYUNDAI,I10,4,2010-2013,14.5,1,"Up to 50,000 DKK",29972,207833,,,,False,,,,False,,,,,16010,16010,0.5402,0.6107,1.1306,11697.7577,920.0,0.5673,False,True,7430,160250,107,False,0.6677,high,,False,False,,False,False,10,A,0.9067,0.5,0.5,1,S,229,B
HYUNDAI,I20,1,2020-2022,5.0,3,"90,000-150,000 DKK",124667,105250,3,6.0,False,True,42119,0.8002,82548,True,65882,9120,4775,162325,27054,13296,0.8411,0.8543,0.2653,10980.263157894737,1520.0,0.4151,False,True,3628,109969,387,False,0.7098,high,,False,False,,False,False,61,B,0.3571,0.5,0.5,88,C,99,A
HYUNDAI,I20,2,2017-2019,8.0,2,"50,000-90,000 DKK",80540,139375,4,6.5,False,True,31463,0.8906,49077,True,76398,10400,10532,146407,22524,14974,0.732,0.7606,0.5401,11753.521126760563,1600.0,0.4884,False,True,5044,149942,387,False,0.6677,high,,False,False,,False,False,88,B,0.4604,0.5,0.5,90,B,179,B
HYUNDAI,I20,3,2014-2016,11.0,2,"50,000-90,000 DKK",52634,139375,4,3.5,True,True,37649,1.0657,14985,True,41137,3220,11229,70571,20163,15882,0.5919,0.6274,1.0694,11753.521126760563,920.0,0.4628,False,True,9154,130770,387,False,0.6677,high,,False,False,,False,False,47,B,0.5719,0.5,0.5,45,B,221,B
HYUNDAI,I20,4,2010-2013,14.5,1,"Up to 50,000 DKK",35327,207833,,,,False,,,,False,,,,,18427,18427,0.5515,0.5863,1.298,12772.959183673469,1760.0,0.4331,False,True,7688,72068,387,False,0.6677,high,,False,False,,False,False,37,B,0.56,0.5,0.5,28,B,349,B
SKODA,OCTAVIA,1,2020-2022,5.0,4,"150,000-250,000 DKK",238385,105250,3,6.0,False,True,69369,0.8002,169016,True,62964,9600,4952,246532,41089,12919,0.8773,0.8508,0.2751,10493.999999999998,1600.0,0.6696,False,True,5539,205326,478,False,0.7098,high,,False,False,,False,False,66,C,0.4756,0.5,0.5,46,B,81,A
SKODA,OCTAVIA,2,2017-2019,8.0,3,"90,000-150,000 DKK",145712,139375,4,6.5,False,True,50013,0.8906,95699,True,78234,10400,8500,192833,29667,14944,0.8303,0.7932,0.4359,12036.057692307691,1600.0,0.7766,False,True,9832,207012,478,False,0.7098,high,,False,False,,False,False,80,B,0.6555,0.5,0.5,23,A,174,B
SKODA,OCTAVIA,3,2014-2016,11.0,2,"50,000-90,000 DKK",86686,139375,4,3.5,True,True,59845,1.0657,26841,True,42952,6160,8748,84700,24200,16531,0.7258,0.6908,0.8331,12272.058823529414,1760.0,0.7643,False,True,6057,140318,478,False,0.6677,high,,False,False,,False,False,114,C,0.5791,0.5,0.5,41,A,256,B
SKODA,OCTAVIA,4,2010-2013,14.5,2,"50,000-90,000 DKK",56155,207833,,,,False,,,,False,,,,,19180,19180,0.6335,0.5991,1.3609,12517.500000000002,2580.0,0.557,False,True,3082,114783,478,False,0.6677,high,,False,False,,False,False,29,A,0.7734,0.5,0.5,6,S,375,C
PEUGEOT,2008,1,2020-2022,5.0,4,"150,000-250,000 DKK",151489,105250,3,6.0,False,True,52903,0.8002,98586,True,65594,9600,8901,182681,30447,14016,0.7764,0.7887,0.4945,10932.314410480352,1600.0,0.5921,False,True,4184,182517,458,False,0.7098,high,,False,False,,False,False,16,A,0.6585,0.5,0.5,14,A,123,A
PEUGEOT,2008,2,2017-2019,8.0,2,"50,000-90,000 DKK",84154,139375,4,6.5,False,True,50448,0.8906,33706,True,62010,12740,17224,125681,19336,14150,0.6643,0.6701,0.8833,9540.0,1960.0,0.4676,False,True,7834,170193,458,False,0.6677,high,,False,False,,False,True,30,A,0.6475,0.5,0.5,27,A,131,A
PEUGEOT,2008,3,2014-2016,11.0,2,"50,000-90,000 DKK",66110,139375,4,3.5,True,True,60365,1.0657,5745,True,42952,3220,13301,65218,18634,16992,0.5928,0.5981,1.2668,12272.058823529414,920.0,0.2816,False,True,4085,36594,458,False,0.6677,high,,False,False,,False,False,20,A,0.4676,0.5,0.5,87,B,283,B
PEUGEOT,2008,4,2010-2013,14.5,2,"50,000-90,000 DKK",56643,207833,,,,False,,,,False,,,,,15417,15417,,0.6364,0.7418,12272.058823529414,920.0,0.2381,True,False,656,11,458,False,0.6677,high,,True,True,reliability_unstable,False,False,,,,,,,,,
TOYOTA,Toyota C-HR,1,2020-2022,5.0,4,"150,000-250,000 DKK",208925,105250,3,,False,True,,,,False,,,,,12272,12272,0.8418,0.8414,0.3126,9934.523809523811,1400.0,0.2957,False,True,2315,157434,5761,True,0.7098,low,,True,False,no_exit_band_data,True,False,,,,,,,,59,A
TOYOTA,Toyota C-HR,2,2017-2019,8.0,3,"90,000-150,000 DKK",142424,139375,4,,False,True,,,,False,,,,,11126,11126,0.8196,0.8244,0.3946,8662.629757785468,1280.0,0.2897,False,True,3628,27660,5761,True,0.7098,low,,True,False,no_exit_band_data,True,False,,,,,,,,44,S
FIAT,500C,1,2020-2022,5.0,4,"150,000-250,000 DKK",167033,105250,3,6.0,False,True,60785,0.8002,106248,True,59607,8400,7740,181996,30333,12625,0.7481,0.7904,0.43,9934.523809523811,1400.0,0.2422,False,True,732,10627,73,False,0.7098,medium,,False,False,,False,False,15,A,0.4146,0.5,0.5,56,B,72,A
FIAT,500C,2,2017-2019,8.0,3,"90,000-150,000 DKK",92669,139375,4,6.5,False,True,52260,0.8906,40409,True,61884,9102,13120,124515,19156,12939,0.6418,0.7008,0.6728,9520.647,1400.3183,0.2673,False,True,1131,25819,73,False,0.6677,medium,,False,False,,False,False,5,S,0.521,0.5,0.5,57,B,84,A
FIAT,500C,3,2014-2016,11.0,2,"50,000-90,000 DKK",75959,139375,4,3.5,True,True,62534,1.0657,13425,True,36837,3220,10164,63646,18185,14349,0.5854,0.6245,0.968,10524.8637,920.0,0.2931,False,True,1451,22249,73,False,0.6677,medium,,False,False,,False,False,14,S,0.4928,0.5,0.5,77,B,144,A
FIAT,500C,4,2010-2013,14.5,2,"50,000-90,000 DKK",58678,207833,,,,False,,,,False,,,,,16935,16935,0.5325,0.5651,1.3566,11944.9232,920.0,0.4199,False,True,2877,9042,73,False,0.6677,medium,,False,False,,False,False,7,S,0.6655,0.5,0.5,24,A,280,B
MAZDA,MAZDA3,1,2020-2022,5.0,4,"150,000-250,000 DKK",216078,105250,3,6.0,False,True,58497,0.8002,157581,True,75098,9600,6860,249139,41523,15260,0.8132,0.8161,0.3811,12516.3869,1600.0,0.6996,False,True,833,81785,91,False,0.7098,medium,,False,False,,False,False,69,C,0.5122,0.5,0.5,37,B,199,B
MAZDA,MAZDA3,2,2017-2019,8.0,4,"150,000-250,000 DKK",150839,139375,4,6.5,False,True,37004,0.8906,113835,True,83031,15865,11659,224391,34522,17009,0.7397,0.7424,0.5979,12774.0757,2440.7547,0.6734,False,True,2173,107141,91,False,0.7098,medium,,False,False,,False,False,43,B,0.628,0.5,0.5,21,A,286,B
MAZDA,MAZDA3,3,2014-2016,11.0,2,"50,000-90,000 DKK",73100,139375,4,3.5,True,True,44278,1.0657,28822,True,44705,6160,10761,90448,25842,17608,0.6559,0.6559,1.0249,12772.9592,1760.0,0.6474,False,True,2869,77452,91,False,0.6677,medium,,False,False,,False,False,130,D,0.4712,0.5,0.5,86,B,313,B
MAZDA,MAZDA3,4,2010-2013,14.5,1,"Up to 50,000 DKK",41548,207833,,,,False,,,,False,,,,,24472,24472,0.5484,0.546,1.7105,15860.4328,3480.0,0.4817,False,True,1512,105080,91,False,0.6677,medium,,False,False,,False,True,73,D,0.42,0.5,0.5,54,B,495,D
VOLVO,XC40,1,2020-2022,5.0,5,"Above 250,000 DKK",293024,105250,3,,False,True,,,,False,,,,,9565,9565,0.888,0.8905,0.2658,7847.962382445142,920.0,0.4405,False,True,2409,90138,226,False,0.7098,high,,True,False,no_exit_band_data,True,False,,,,,,,,26,S
VOLVO,XC40,2,2017-2019,8.0,5,"Above 250,000 DKK",265725,139375,4,,False,True,,,,False,,,,,19855,19855,0.8517,0.8572,0.357,14144.067796610172,4640.0,0.6714,True,False,1250,1471,226,False,0.7098,high,,True,True,no_exit_band_data,False,True,,,,,,,,,
MERCEDES-BENZ,B-Klasse,1,2020-2022,5.0,5,"Above 250,000 DKK",259052,105250,3,6.0,False,True,90923,0.8002,168129,True,62964,14640,8392,254125,42354,14333,0.8503,0.8647,0.4662,10493.999999999998,2440.0,0.6025,False,True,497,51926,186,False,0.7098,high,,False,False,,False,False,11,A,0.6296,0.5,0.5,13,A,143,A
