dmr_make,dmr_model,dk_vehicle_count,proposed_no_make,proposed_no_model_token,no_inspection_count,confidence,rule_fired,match_score,decision,decision_basis
VOLKSWAGEN,UP!,62570,VOLKSWAGEN,UP,6854,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,854 Norwegian inspections"
PEUGEOT,208,52719,PEUGEOT,208,8735,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,735 Norwegian inspections"
VOLKSWAGEN,POLO,44100,VOLKSWAGEN,POLO,40877,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 40,877 Norwegian inspections"
TOYOTA,AYGO,43773,TOYOTA,AYGO,7203,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,203 Norwegian inspections"
TOYOTA,YARIS,39750,TOYOTA,YARIS,84724,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 84,724 Norwegian inspections"
CITROËN,C3,38244,CITROEN,C3,7407,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,407 Norwegian inspections"
KIA,PICANTO,32895,KIA,PICANTO,6700,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,700 Norwegian inspections"
CITROËN,C1,31991,CITROEN,C1,2638,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,638 Norwegian inspections"
FORD,FIESTA,31965,FORD,FIESTA,26232,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 26,232 Norwegian inspections"
VOLKSWAGEN,GOLF,29976,VOLKSWAGEN,GOLF,129219,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 129,219 Norwegian inspections"
HYUNDAI,I10,29175,HYUNDAI,I10,2608,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,608 Norwegian inspections"
SKODA,CITIGO,27868,SKODA,CITIGO,2220,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,220 Norwegian inspections"
OPEL,CORSA,27644,OPEL,CORSA,10031,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 10,031 Norwegian inspections"
RENAULT,Ny Clio,26976,RENAULT,CLIO,4069,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,069 Norwegian inspections"
HYUNDAI,I20,25514,HYUNDAI,I20,11429,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 11,429 Norwegian inspections"
SKODA,FABIA,25197,SKODA,FABIA,15567,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 15,567 Norwegian inspections"
SKODA,OCTAVIA,24510,SKODA,OCTAVIA,67202,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 67,202 Norwegian inspections"
NISSAN,QASHQAI,23722,NISSAN,QASHQAI,33664,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 33,664 Norwegian inspections"
SUZUKI,SWIFT,22549,SUZUKI,SWIFT,17165,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 17,165 Norwegian inspections"
KIA,RIO,21547,KIA,RIO,4672,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,672 Norwegian inspections"
PEUGEOT,308,20846,PEUGEOT,308,15427,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 15,427 Norwegian inspections"
RENAULT,Captur,18881,RENAULT,CAPTUR,3713,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,713 Norwegian inspections"
VOLKSWAGEN,TOURAN,17682,VOLKSWAGEN,TOURAN,25894,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 25,894 Norwegian inspections"
PEUGEOT,107,17674,PEUGEOT,107,2957,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,957 Norwegian inspections"
FORD,KUGA,16767,FORD,KUGA,22451,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 22,451 Norwegian inspections"
PEUGEOT,2008,16677,PEUGEOT,2008,8657,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,657 Norwegian inspections"
PEUGEOT,108,15588,PEUGEOT,108,1031,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,031 Norwegian inspections"
VOLKSWAGEN,PASSAT,15030,VOLKSWAGEN,PASSAT,70734,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 70,734 Norwegian inspections"
KIA,CEED,14992,KIA,CEED,6566,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,566 Norwegian inspections"
OPEL,ASTRA,14759,OPEL,ASTRA,17798,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 17,798 Norwegian inspections"
FORD,FOCUS,14472,FORD,FOCUS,44247,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 44,247 Norwegian inspections"
CHEVROLET,SPARK,12832,CHEVROLET,SPARK,339,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 339 Norwegian inspections"
FORD,KA,12679,FORD,KA,1046,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,046 Norwegian inspections"
MERCEDES-BENZ,C-Klasse,12063,MERCEDES-BENZ,C,31181,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 31,181 Norwegian inspections"
SEAT,MII,11905,SEAT,,0,no-candidate,,,,no-candidate: no Norwegian equivalent found automatically -- needs a human
PEUGEOT,3008,11806,PEUGEOT,3008,19410,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 19,410 Norwegian inspections"
FIAT,500,11378,FIAT,500,4817,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,817 Norwegian inspections"
TOYOTA,AURIS,10970,TOYOTA,AURIS,62942,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 62,942 Norwegian inspections"
SUZUKI,VITARA,9524,SUZUKI,VITARA,8765,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,765 Norwegian inspections"
RENAULT,MEGANE,9277,RENAULT,MEGANE,5169,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,169 Norwegian inspections"
SEAT,LEON,9206,SEAT,LEON,201,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 201 Norwegian inspections"
HYUNDAI,I30,9003,HYUNDAI,I30,4284,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,284 Norwegian inspections"
SUZUKI,SX4 S-Cross,8987,SUZUKI,SX4 S CROSS,6636,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,636 Norwegian inspections"
OPEL,KARL,8920,OPEL,,0,no-candidate,,,,no-candidate: no Norwegian equivalent found automatically -- needs a human
SUZUKI,BALENO,8873,SUZUKI,BALENO,479,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 479 Norwegian inspections"
VOLKSWAGEN,T-Roc,8548,VOLKSWAGEN,T ROC,7701,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,701 Norwegian inspections"
SKODA,OCTAVIA COMBI,8432,SKODA,OCTAVIA,67202,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 67,202 Norwegian inspections"
SUZUKI,Celerio,8391,SUZUKI,,0,no-candidate,,,,no-candidate: no Norwegian equivalent found automatically -- needs a human
RENAULT,CLIO,8289,RENAULT,CLIO,4069,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,069 Norwegian inspections"
CITROËN,C4,8280,CITROEN,C4,14694,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 14,694 Norwegian inspections"
MERCEDES-BENZ,A-Klasse,8082,MERCEDES-BENZ,A,15306,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 15,306 Norwegian inspections"
SKODA,FABIA COMBI,8079,SKODA,FABIA,15567,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 15,567 Norwegian inspections"
FORD,C-MAX,8014,FORD,C MAX,3869,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,869 Norwegian inspections"
CITROËN,C4 Cactus,7882,CITROEN,C4 CACTUS,3491,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,491 Norwegian inspections"
NISSAN,MICRA,7864,NISSAN,MICRA,3600,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,600 Norwegian inspections"
FIAT,PANDA,7703,FIAT,PANDA,582,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 582 Norwegian inspections"
MAZDA,MAZDA2,7483,MAZDA,2,6051,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,051 Norwegian inspections"
RENAULT,TWINGO,7445,RENAULT,TWINGO,20,high,name_similarity_firsttoken,1.0,n,"exact/structural match but only 20 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
RENAULT,TWINGO,7445,RENAULT,TURING,1,medium,name_similarity_firsttoken,0.6667,,"similarity 0.67 is an inference, not an identity -- needs a human"
BMW,3-Serie,7390,BMW,320,17606,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 17,606 Norwegian inspections"
BMW,3-Serie,7390,BMW,318,8228,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 8,228 Norwegian inspections"
BMW,3-Serie,7390,BMW,316,5807,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 5,807 Norwegian inspections"
BMW,3-Serie,7390,BMW,330,5397,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 5,397 Norwegian inspections"
BMW,3-Serie,7390,BMW,325,1248,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 1,248 Norwegian inspections"
BMW,3-Serie,7390,BMW,328,313,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 313 Norwegian inspections"
BMW,3-Serie,7390,BMW,335,261,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 261 Norwegian inspections"
BMW,3-Serie,7390,BMW,323,196,high,family_series_sibling,1.0,n,"exact/structural match but only 196 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,340,40,high,family_series_sibling,1.0,n,"exact/structural match but only 40 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,324,5,high,family_series_sibling,1.0,n,"exact/structural match but only 5 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,346,4,high,family_series_sibling,1.0,n,"exact/structural match but only 4 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,315,3,high,family_series_sibling,1.0,n,"exact/structural match but only 3 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,3181,2,high,family_series_sibling,1.0,n,"exact/structural match but only 2 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,3251,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,3200,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,30,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,3-Serie,7390,BMW,381,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
SUZUKI,IGNIS,7200,SUZUKI,IGNIS,5987,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,987 Norwegian inspections"
AUDI,A3 Sportback,7174,AUDI,A3 SPORTBACK,21874,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 21,874 Norwegian inspections"
SEAT,IBIZA,7137,SEAT,IBIZA,235,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 235 Norwegian inspections"
MERCEDES-BENZ,E-Klasse,7135,MERCEDES-BENZ,E,39883,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 39,883 Norwegian inspections"
FORD,S-MAX,7026,FORD,S MAX,18412,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 18,412 Norwegian inspections"
MITSUBISHI,SPACE STAR,7009,MITSUBISHI,SPACE STAR,4078,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,078 Norwegian inspections"
SUZUKI,ALTO,6754,SUZUKI,ALTO,692,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 692 Norwegian inspections"
CITROËN,C 1,6597,CITROEN,C1,2638,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,638 Norwegian inspections"
VOLKSWAGEN,T-Cross,6532,VOLKSWAGEN,T CROSS,1240,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,240 Norwegian inspections"
VOLKSWAGEN,TIGUAN,6412,VOLKSWAGEN,TIGUAN,40886,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 40,886 Norwegian inspections"
CITROËN,GRAND C4 PICASSO,6346,CITROEN,,0,no-candidate,,,,no-candidate: no Norwegian equivalent found automatically -- needs a human
KIA,Niro,6209,KIA,NIRO,8121,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,121 Norwegian inspections"
VOLKSWAGEN,PASSAT VARIANT,6038,VOLKSWAGEN,PASSAT,70734,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 70,734 Norwegian inspections"
FORD,FIESTA 5 DØRS,5987,FORD,FIESTA,26232,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 26,232 Norwegian inspections"
TOYOTA,Toyota C-HR,5943,TOYOTA,C HR,18837,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 18,837 Norwegian inspections"
TOYOTA,AYGO 3/5-DØRS,5820,TOYOTA,AYGO,7203,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,203 Norwegian inspections"
NISSAN,NOTE,5684,NISSAN,NOTE,3325,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,325 Norwegian inspections"
VOLVO,V60,5670,VOLVO,V60,35556,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 35,556 Norwegian inspections"
FORD,MONDEO,5626,FORD,MONDEO,36399,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 36,399 Norwegian inspections"
TOYOTA,COROLLA,5346,TOYOTA,COROLLA,40357,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 40,357 Norwegian inspections"
RENAULT,GRAND SCENIC,5269,RENAULT,SCENIC,135,medium,name_similarity_fullstring,0.6667,,"similarity 0.67 is an inference, not an identity -- needs a human"
RENAULT,GRAND SCENIC,5269,RENAULT,GRAND,1,high,name_similarity_firsttoken,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
SUZUKI,SPLASH,5129,SUZUKI,SPLASH,8,high,name_similarity_firsttoken,1.0,n,"exact/structural match but only 8 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
DACIA,Duster,5050,DACIA,DUSTER,1807,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,807 Norwegian inspections"
TOYOTA,RAV4,4915,TOYOTA,RAV4,83482,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 83,482 Norwegian inspections"
TOYOTA,AVENSIS,4889,TOYOTA,AVENSIS,55295,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 55,295 Norwegian inspections"
VOLKSWAGEN,Golf Sportsvan,4733,VOLKSWAGEN,GOLF SPORTSVAN,5061,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,061 Norwegian inspections"
MAZDA,MAZDA6,4712,MAZDA,6,12454,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 12,454 Norwegian inspections"
TOYOTA,YARIS 5-DØRS,4539,TOYOTA,YARIS,84724,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 84,724 Norwegian inspections"
HONDA,JAZZ,4499,HONDA,JAZZ,6568,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,568 Norwegian inspections"
HYUNDAI,I30CW,4476,HYUNDAI,I30,4284,exact,code_exact,1.0,y,"literal string identity (code_exact), 4,284 Norwegian inspections"
TOYOTA,VERSO,4405,TOYOTA,VERSO,6130,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,130 Norwegian inspections"
OPEL,INSIGNIA,4352,OPEL,INSIGNIA,10843,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 10,843 Norwegian inspections"
RENAULT,Kadjar,4348,RENAULT,KADJAR,1149,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,149 Norwegian inspections"
PEUGEOT,207,4319,PEUGEOT,207,7722,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,722 Norwegian inspections"
DACIA,Logan MCV,4307,DACIA,LOGAN,12,high,name_similarity_firsttoken,1.0,n,"exact/structural match but only 12 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
CITROËN,C3 PICASSO,4293,CITROEN,C3 PICASSO,1272,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,272 Norwegian inspections"
MAZDA,CX-5,4262,MAZDA,CX 5,29842,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 29,842 Norwegian inspections"
OPEL,Crossland X,4241,OPEL,CROSSLAND X,1556,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,556 Norwegian inspections"
FIAT,500C,4232,FIAT,500C,78,exact,prefix_identity,1.0,n,"exact/structural match but only 78 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
MAZDA,MAZDA3,4189,MAZDA,3,11132,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 11,132 Norwegian inspections"
DACIA,SANDERO,4174,DACIA,SANDERO,1,high,name_similarity_firsttoken,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
AUDI,A4 AVANT,4144,AUDI,A4 AVANT,6599,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,599 Norwegian inspections"
PEUGEOT,206 +,4125,PEUGEOT,206,2777,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 2,777 Norwegian inspections"
CHEVROLET,AVEO,4123,CHEVROLET,AVEO,185,exact,prefix_identity,1.0,n,"exact/structural match but only 185 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,116,10420,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 10,420 Norwegian inspections"
BMW,1-Serie,4105,BMW,118,5655,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 5,655 Norwegian inspections"
BMW,1-Serie,4105,BMW,120,975,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 975 Norwegian inspections"
BMW,1-Serie,4105,BMW,114,324,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 324 Norwegian inspections"
BMW,1-Serie,4105,BMW,135,32,high,family_series_sibling,1.0,n,"exact/structural match but only 32 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,123,23,high,family_series_sibling,1.0,n,"exact/structural match but only 23 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1602,21,high,family_series_sibling,1.0,n,"exact/structural match but only 21 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,125,17,high,family_series_sibling,1.0,n,"exact/structural match but only 17 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1502,6,high,family_series_sibling,1.0,n,"exact/structural match but only 6 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1600,5,high,family_series_sibling,1.0,n,"exact/structural match but only 5 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,130,5,high,family_series_sibling,1.0,n,"exact/structural match but only 5 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1800,5,high,family_series_sibling,1.0,n,"exact/structural match but only 5 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,128,3,high,family_series_sibling,1.0,n,"exact/structural match but only 3 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1802,2,high,family_series_sibling,1.0,n,"exact/structural match but only 2 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1969,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,187,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1975,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
