dmr_make,dmr_model,age_band,uk_n,uk_rate,no_n,no_rate
AUDI,A1 SPORTBACK,1,240600,0.8302,902,0.7474
AUDI,A3,1,329089,0.8761,4115,0.7468
AUDI,A3 Sportback,1,329089,0.8761,3698,0.745
AUDI,A4 AVANT,1,184036,0.8554,1533,0.8571
AUDI,A5 SPORTBACK,1,120234,0.8557,233,0.8427
AUDI,A6 AVANT,1,103781,0.8907,526,0.8459
AUDI,Q2,1,135858,0.8927,1587,0.7983
AUDI,Q3,1,164151,0.8833,911,0.7685
AUDI,Q5,1,132699,0.8816,1438,0.8547
BMW,1-Serie,1,333433,0.8573,314,0.7848
BMW,2-Serie,1,213728,0.856,7055,0.8155
BMW,3-Serie,1,313391,0.8807,4744,0.7605
BMW,5-Serie,1,182728,0.8871,4543,0.829
BMW,X1,1,145861,0.8812,7080,0.8569
BMW,X3,1,111810,0.8728,2884,0.8475
BMW,X5,1,79157,0.8752,5474,0.7928
CITROËN,BERLINGO,1,164898,0.7084,389,0.6762
CITROËN,C3,1,224597,0.7912,2416,0.5996
CITROËN,C3 Aircross,1,60304,0.8157,782,0.6281
CITROËN,C4,1,166017,0.7553,2520,0.6137
CITROËN,C4 Cactus,1,48629,0.7386,1085,0.5877
DACIA,Duster,1,104001,0.746,767,0.587
FORD,FIESTA,1,1025371,0.7889,3219,0.7834
FORD,FOCUS,1,636311,0.8434,6110,0.798
FORD,GALAXY,1,43215,0.8202,191,0.7081
FORD,KUGA,1,399644,0.8489,5193,0.8205
FORD,MONDEO,1,99610,0.8651,1541,0.8291
FORD,MONDEO STATIONCAR,1,99610,0.8651,1541,0.8291
FORD,S-MAX,1,40516,0.8121,1786,0.7866
HONDA,CIVIC,1,151099,0.8573,573,0.8021
HONDA,CR-V,1,116770,0.8927,1749,0.8564
HONDA,JAZZ,1,201544,0.8752,801,0.7993
HYUNDAI,I20,1,109969,0.8411,1113,0.787
HYUNDAI,Ioniq,1,80426,0.8782,1674,0.7566
HYUNDAI,Tucson,1,257700,0.8405,2203,0.8471
KIA,CEED,1,101379,0.8244,984,0.81
KIA,Niro,1,93980,0.868,5432,0.82
KIA,Optima,1,23133,0.8399,1833,0.8219
KIA,RIO,1,75096,0.824,599,0.8323
KIA,SPORTAGE,1,373513,0.8312,1259,0.8249
KIA,Stonic,1,47837,0.852,630,0.7859
MAZDA,CX-3,1,56414,0.8667,2711,0.8055
MAZDA,CX-5,1,95527,0.8589,6042,0.7938
MAZDA,MAZDA3,1,81785,0.8132,1523,0.747
MAZDA,MAZDA6,1,48336,0.8455,1078,0.7831
MAZDA,Mazda CX-30,1,10055,0.8849,2458,0.8213
MERCEDES-BENZ,A-Klasse,1,477583,0.8479,2726,0.8518
MERCEDES-BENZ,B-Klasse,1,51926,0.8503,856,0.7849
MERCEDES-BENZ,C-Klasse,1,339841,0.8566,3637,0.8214
MERCEDES-BENZ,CLA,1,94884,0.8336,1365,0.8099
MERCEDES-BENZ,E-Klasse,1,235674,0.8549,4198,0.8365
MERCEDES-BENZ,GLA,1,157652,0.8607,938,0.8205
MERCEDES-BENZ,GLC,1,163421,0.8768,6276,0.8402
MERCEDES-BENZ,GLE,1,55673,0.8833,2193,0.8608
MINI,COOPER,1,452448,0.8554,538,0.8547
MITSUBISHI,ASX,1,30442,0.8587,452,0.8374
MITSUBISHI,OUTLANDER,1,107990,0.864,27166,0.7797
NISSAN,QASHQAI,1,580046,0.8362,4798,0.8029
NISSAN,X-TRAIL,1,117625,0.8269,677,0.7925
OPEL,ASTRA,1,386690,0.8262,1077,0.8384
OPEL,Crossland X,1,21436,0.8475,1377,0.6882
OPEL,Grandland X,1,34239,0.852,2268,0.8179
OPEL,INSIGNIA,1,153091,0.8004,1365,0.8721
