dmr_make,dmr_model,n_listings,pooled_at_brand,co2_gkm_used,curve_age_range
HYUNDAI,I10,107,False,107.0,"3.5-16.7 yrs (105,728-27,581 DKK observed)"
HYUNDAI,I20,387,False,114.0,"3.5-16.6 yrs (135,478-34,520 DKK observed)"
SKODA,OCTAVIA,478,False,114.0,"3.2-21.9 yrs (214,103-22,377 DKK observed)"
PEUGEOT,2008,458,False,103.0,"3.6-16.0 yrs (190,641-64,096 DKK observed)"
TOYOTA,Toyota C-HR,5761,True,86.0,"3.7-21.6 yrs (208,941-53,775 DKK observed)"
FIAT,500C,575,True,108.0,"3.5-21.1 yrs (191,802-22,377 DKK observed)"
MAZDA,MAZDA3,559,True,119.0,"3.5-24.0 yrs (210,667-20,641 DKK observed)"
VOLVO,XC40,226,False,49.0,"3.4-9.2 yrs (259,681-226,287 DKK observed)"
MERCEDES-BENZ,B-Klasse,186,False,116.0,"3.4-18.1 yrs (323,430-35,734 DKK observed)"
CITROËN,C3 Aircross,160,False,110.0,"3.6-22.3 yrs (138,600-17,173 DKK observed)"
OPEL,MERIVA,624,False,132.0,"7.0-19.1 yrs (67,565-19,428 DKK observed)"
MERCEDES-BENZ,C,938,False,118.0,"3.5-19.9 yrs (430,546-44,928 DKK observed)"
SKODA,RAPID SPACEBACK,987,True,112.0,"3.2-21.5 yrs (192,809-22,377 DKK observed)"
KIA,Optima,78,False,34.0,"7.0-16.0 yrs (114,488-61,668 DKK observed)"
AUDI,A1 SPORTBACK,486,True,108.0,"3.8-22.3 yrs (439,046-37,989 DKK observed)"
BMW,4-serie,323,False,121.0,"3.3-16.0 yrs (466,194-143,111 DKK observed)"
NISSAN,Qashqai J11A,326,False,119.0,"3.6-17.7 yrs (240,252-48,397 DKK observed)"
RENAULT,MEGANE SPORT TOURER,400,False,102.0,"3.5-20.6 yrs (152,478-14,745 DKK observed)"
VOLKSWAGEN,GOLF,2855,False,116.0,"3.2-20.7 yrs (207,901-28,969 DKK observed)"
RENAULT,Ny Clio,4872,True,104.0,"3.5-19.8 yrs (169,651-24,112 DKK observed)"
VOLKSWAGEN,TOURAN,538,False,126.0,"3.2-18.8 yrs (290,844-34,520 DKK observed)"
PEUGEOT,107,77,False,99.0,"13.3-18.6 yrs (27,495-17,173 DKK observed)"
PEUGEOT,3008,696,False,100.0,"3.6-17.2 yrs (265,058-46,576 DKK observed)"
SKODA,FABIA COMBI,25,False,121.0,"3.5-19.6 yrs (107,983-19,949 DKK observed)"
MAZDA,MAZDA2,559,True,111.0,"3.5-24.0 yrs (210,667-20,641 DKK observed)"
FORD,MONDEO,836,False,129.0,"3.0-19.2 yrs (163,406-30,444 DKK observed)"
MAZDA,MAZDA6,559,True,139.0,"3.5-24.0 yrs (210,667-20,641 DKK observed)"
MAZDA,3,91,False,119.0,"3.4-21.5 yrs (190,641-15,264 DKK observed)"
SEAT,TOLEDO,74,False,114.0,"7.0-26.0 yrs (68,346-7,806 DKK observed)"
FORD,MONDEO STATIONCAR,207,False,138.0,"6.9-19.5 yrs (116,917-29,488 DKK observed)"
HONDA,CR-V,459,False,139.0,"3.2-22.2 yrs (303,221-49,249 DKK observed)"
KIA,Stonic,117,False,120.0,"3.6-9.5 yrs (132,703-107,376 DKK observed)"
FIAT,500 C,73,False,114.0,"3.6-18.0 yrs (213,191-48,475 DKK observed)"
MERCEDES-BENZ,GLA,194,False,123.0,"3.5-13.8 yrs (338,261-143,024 DKK observed)"
BMW,2-Serie,261,False,118.0,"3.4-13.3 yrs (312,068-130,101 DKK observed)"
FIAT,Punto S7,575,True,90.0,"3.5-21.1 yrs (191,802-22,377 DKK observed)"
VOLKSWAGEN,CALIFORNIA,71,False,193.0,"3.4-10.0 yrs (610,990-365,106 DKK observed)"
VOLKSWAGEN,POLO,852,False,107.0,"3.1-20.1 yrs (174,959-21,597 DKK observed)"
FORD,FOCUS,1674,False,110.0,"3.5-19.5 yrs (178,498-22,897 DKK observed)"
RENAULT,MEGANE,1147,False,93.0,"3.5-19.4 yrs (160,284-31,137 DKK observed)"
VOLKSWAGEN,GOLF VARIANT,800,False,118.0,"3.2-21.9 yrs (195,845-23,418 DKK observed)"
CITROËN,BERLINGO,91,False,115.0,"3.6-22.5 yrs (201,200-14,224 DKK observed)"
FORD,NY Focus,5921,True,110.0,"3.5-19.7 yrs (200,008-31,051 DKK observed)"
MITSUBISHI,ASX,122,False,132.0,"3.7-16.0 yrs (229,827-60,193 DKK observed)"
TOYOTA,Yaris Cross,409,False,101.0,"3.8-18.7 yrs (138,600-31,918 DKK observed)"
VOLVO,V50,323,False,114.0,"13.3-19.6 yrs (37,989-27,495 DKK observed)"
VOLKSWAGEN,UP!,172,False,95.0,"3.2-16.0 yrs (147,274-48,397 DKK observed)"
VOLVO,V60,439,False,119.0,"3.5-16.0 yrs (311,721-63,836 DKK observed)"
TOYOTA,RAV4,511,False,116.0,"3.6-23.2 yrs (307,818-41,459 DKK observed)"
BMW,1-Serie,291,False,114.0,"3.3-17.8 yrs (260,548-39,811 DKK observed)"
HYUNDAI,Tucson,596,False,119.0,"3.3-18.9 yrs (234,008-37,295 DKK observed)"
CITROËN,C5 Aircross,62,False,32.0,"3.6-20.4 yrs (227,069-11,275 DKK observed)"
KIA,CEE'D SW,203,False,119.0,"3.6-16.6 yrs (152,651-53,168 DKK observed)"
RENAULT,SCENIC,485,False,105.0,"3.5-20.7 yrs (140,378-17,173 DKK observed)"
FORD,B-MAX,107,False,114.0,"7.0-16.0 yrs (60,540-49,785 DKK observed)"
OPEL,ASTRA SPORTS TOURER,1018,False,115.5,"3.5-19.7 yrs (179,868-22,551 DKK observed)"
MERCEDES-BENZ,GLB,52,False,147.0,"3.3-5.4 yrs (407,648-346,761 DKK observed)"
BMW,3-Serie,1088,False,118.0,"3.4-20.8 yrs (383,111-43,193 DKK observed)"
VOLKSWAGEN,TIGUAN,958,False,133.0,"3.2-17.9 yrs (295,675-64,009 DKK observed)"
VOLKSWAGEN,Golf Sportsvan,827,False,120.0,"3.2-22.1 yrs (196,799-23,416 DKK observed)"
HONDA,CIVIC,802,False,117.0,"3.2-22.4 yrs (214,831-29,316 DKK observed)"
VOLKSWAGEN,CADDY,378,False,139.0,"3.1-18.3 yrs (287,951-35,387 DKK observed)"
HYUNDAI,i30 Stc.,360,False,121.0,"3.5-16.6 yrs (138,600-32,958 DKK observed)"
HYUNDAI,Ioniq,3481,True,26.0,"3.4-17.9 yrs (162,279-41,459 DKK observed)"
KIA,RIO,218,False,106.0,"3.4-17.5 yrs (105,815-38,857 DKK observed)"
RENAULT,Captur,340,False,113.0,"3.4-16.0 yrs (169,304-69,101 DKK observed)"
PEUGEOT,108,38,False,88.0,"6.1-9.5 yrs (61,754-50,696 DKK observed)"
KIA,CEED,633,False,110.0,"3.6-16.8 yrs (152,651-50,111 DKK observed)"
SKODA,OCTAVIA COMBI,152,False,117.0,"3.0-22.7 yrs (221,865-13,876 DKK observed)"
CITROËN,C4,190,False,97.0,"3.5-17.9 yrs (186,304-24,112 DKK observed)"
OPEL,INSIGNIA,1715,False,134.0,"3.5-17.4 yrs (162,886-45,084 DKK observed)"
SEAT,Arona,149,False,114.0,"3.3-9.2 yrs (164,360-124,463 DKK observed)"
AUDI,Q5,32,False,59.5,"3.7-18.0 yrs (312,068-108,764 DKK observed)"
FORD,Focus,1674,False,110.0,"3.5-19.5 yrs (178,498-22,897 DKK observed)"
SKODA,SCALA,44,False,116.0,"3.1-5.8 yrs (185,955-137,039 DKK observed)"
PEUGEOT,508,661,False,101.0,"3.6-16.0 yrs (270,436-51,867 DKK observed)"
MAZDA,Mazda CX-30,559,True,134.0,"3.5-24.0 yrs (210,667-20,641 DKK observed)"
AUDI,A3,58,False,89.0,"6.7-22.7 yrs (116,353-27,321 DKK observed)"
BMW,X3,574,False,128.0,"3.5-18.2 yrs (443,903-65,918 DKK observed)"
NISSAN,X-TRAIL,157,False,143.0,"3.3-19.1 yrs (327,333-41,285 DKK observed)"
OPEL,ZAFIRA,638,False,144.0,"3.3-19.1 yrs (299,925-27,581 DKK observed)"
HYUNDAI,i10 AC3,43,False,95.0,"3.5-16.7 yrs (89,943-28,275 DKK observed)"
MERCEDES-BENZ,C-Klasse,938,False,120.0,"3.5-19.9 yrs (430,546-44,928 DKK observed)"
FORD,S-MAX,282,False,139.0,"7.0-17.2 yrs (110,846-46,663 DKK observed)"
KIA,Niro,2480,True,31.0,"3.6-23.1 yrs (165,228-28,622 DKK observed)"
SKODA,KAROQ,24,False,127.0,"3.4-5.6 yrs (235,525-202,869 DKK observed)"
KIA,VENGA,89,False,130.0,"7.0-16.0 yrs (80,489-43,193 DKK observed)"
FORD,Transit Custom Kombi,102,False,179.0,"3.5-23.8 yrs (345,027-32,959 DKK observed)"
KIA,XCeed,115,False,32.0,"3.6-5.4 yrs (194,283-183,529 DKK observed)"
SKODA,KODIAQ,15,False,143.0,"3.2-8.8 yrs (339,129-234,181 DKK observed)"
SEAT,Ibiza GP2,163,False,99.0,"3.4-17.4 yrs (117,437-29,143 DKK observed)"
SEAT,LEON,774,False,114.0,"3.2-19.1 yrs (162,886-34,954 DKK observed)"
NISSAN,MICRA,330,False,115.0,"3.6-21.3 yrs (109,111-13,010 DKK observed)"
AUDI,A3 Sportback,24,False,111.0,"9.7-25.4 yrs (122,034-15,439 DKK observed)"
VOLKSWAGEN,T-Cross,122,False,114.0,"3.2-9.1 yrs (204,031-138,600 DKK observed)"
MAZDA,CX-5,92,False,150.0,"3.3-12.8 yrs (309,466-103,994 DKK observed)"
PEUGEOT,206 +,6154,True,139.0,"3.6-20.5 yrs (220,130-20,643 DKK observed)"
AUDI,A6 AVANT,57,False,118.0,"4.0-23.8 yrs (480,158-27,234 DKK observed)"
FORD,PUMA,64,False,121.0,"3.5-5.4 yrs (191,335-171,559 DKK observed)"
CITROËN,Grand C4 SpaceTourer,1252,True,118.0,"3.6-23.0 yrs (155,991-14,743 DKK observed)"
ALFA ROMEO,GIULIETTA,131,False,127.0,"9.4-16.0 yrs (89,162-60,453 DKK observed)"
FORD,FIESTA,828,False,99.0,"3.4-18.7 yrs (151,611-29,316 DKK observed)"
SKODA,CITIGO,172,False,95.0,"3.2-16.0 yrs (147,274-48,397 DKK observed)"
SKODA,FABIA,112,False,108.0,"3.2-20.9 yrs (113,925-18,908 DKK observed)"
CHEVROLET,SPARK,307,True,118.0,"3.8-21.9 yrs (390,302-39,551 DKK observed)"
SEAT,MII,41,False,95.0,"7.0-13.3 yrs (46,316-36,255 DKK observed)"
MERCEDES-BENZ,E-Klasse,1177,False,126.0,"3.4-20.3 yrs (450,842-47,704 DKK observed)"
TOYOTA,VERSO,177,False,154.0,"7.0-16.6 yrs (72,683-60,712 DKK observed)"
BMW,X1,317,False,114.0,"3.4-16.0 yrs (297,323-85,133 DKK observed)"
MITSUBISHI,OUTLANDER,203,False,40.0,"3.8-19.3 yrs (177,284-40,765 DKK observed)"
CITROËN,C1,1252,True,99.0,"3.6-23.0 yrs (155,991-14,743 DKK observed)"
OPEL,KARL,24,False,94.0,"7.0-9.6 yrs (42,846-48,397 DKK observed)"
VOLKSWAGEN,T-Roc,337,False,124.0,"3.2-9.2 yrs (232,620-162,712 DKK observed)"
VOLKSWAGEN,PASSAT VARIANT,664,False,118.0,"3.4-21.9 yrs (303,568-22,377 DKK observed)"
RENAULT,GRAND SCENIC,163,False,114.0,"3.8-17.0 yrs (120,300-43,193 DKK observed)"
DACIA,SANDERO,116,False,115.0,"3.4-17.5 yrs (133,396-18,908 DKK observed)"
TOYOTA,Aygo X,122,False,110.0,"3.8-16.0 yrs (127,655-44,408 DKK observed)"
KIA,SPORTAGE,781,False,119.0,"3.5-25.2 yrs (197,406-28,622 DKK observed)"
BMW,X5,686,False,31.0,"3.4-19.7 yrs (754,882-77,887 DKK observed)"
OPEL,Mokka,580,False,135.0,"3.5-16.0 yrs (190,467-81,269 DKK observed)"
TOYOTA,AYGO,288,False,88.0,"3.7-17.4 yrs (86,560-26,541 DKK observed)"
TOYOTA,YARIS,975,False,98.0,"3.7-19.0 yrs (136,085-28,622 DKK observed)"
NISSAN,QASHQAI,994,False,129.0,"3.7-17.7 yrs (234,008-50,132 DKK observed)"
CITROËN,C4 Cactus,41,False,92.0,"3.6-18.6 yrs (172,513-18,214 DKK observed)"
SEAT,IBIZA,490,False,109.0,"3.4-18.3 yrs (110,846-31,051 DKK observed)"
FORD,FIESTA 5 DØRS,244,False,121.5,"3.4-19.6 yrs (147,274-33,306 DKK observed)"
HONDA,JAZZ,177,False,119.0,"6.4-19.0 yrs (98,009-26,019 DKK observed)"
CHEVROLET,AVEO,19,False,111.0,"14.0-20.3 yrs (26,714-15,265 DKK observed)"
SKODA,SUPERB COMBI,76,False,114.0,"3.0-20.1 yrs (299,752-27,581 DKK observed)"
MITSUBISHI,COLT,72,False,119.0,"14.1-19.5 yrs (27,581-19,949 DKK observed)"
FORD,FOCUS STATIONSVOGN,515,False,115.0,"3.6-19.7 yrs (178,498-20,643 DKK observed)"
HYUNDAI,I 10,3481,True,115.0,"3.4-17.9 yrs (162,279-41,459 DKK observed)"
HYUNDAI,IX20,131,False,130.0,"7.0-16.0 yrs (76,152-51,867 DKK observed)"
AUDI,A3 Limousine,24,False,109.0,"9.7-25.4 yrs (122,034-15,439 DKK observed)"
VOLVO,V90,216,False,119.0,"3.6-9.2 yrs (485,535-239,645 DKK observed)"
