dmr_make,dmr_model,age_band,estimated_value_dkk,n_listings,pooled_at_brand,calibrated
HYUNDAI,I10,1,105420,107,False,False
HYUNDAI,I10,2,78065,107,False,False
HYUNDAI,I10,3,65581,107,False,False
HYUNDAI,I10,4,44890,107,False,False
HYUNDAI,I20,1,175647,387,False,False
HYUNDAI,I20,2,120628,387,False,False
HYUNDAI,I20,3,78833,387,False,False
HYUNDAI,I20,4,52911,387,False,False
SKODA,OCTAVIA,1,335867,478,False,False
SKODA,OCTAVIA,2,205297,478,False,False
SKODA,OCTAVIA,3,129834,478,False,False
SKODA,OCTAVIA,4,84106,478,False,False
PEUGEOT,2008,1,213436,458,False,False
PEUGEOT,2008,2,126042,458,False,False
PEUGEOT,2008,3,99016,458,False,False
PEUGEOT,2008,4,84837,458,False,False
TOYOTA,Toyota C-HR,1,294360,5761,True,False
TOYOTA,Toyota C-HR,2,200665,5761,True,False
TOYOTA,Toyota C-HR,3,120001,5761,True,False
TOYOTA,Toyota C-HR,4,76039,5761,True,False
FIAT,500C,1,223693,575,True,False
FIAT,500C,2,149982,575,True,False
FIAT,500C,3,112962,575,True,False
FIAT,500C,4,78121,575,True,False
MAZDA,MAZDA3,1,332754,559,True,False
MAZDA,MAZDA3,2,259927,559,True,False
MAZDA,MAZDA3,3,189885,559,True,False
MAZDA,MAZDA3,4,115791,559,True,False
VOLVO,XC40,1,412848,226,False,False
VOLVO,XC40,2,374387,226,False,False
VOLVO,XC40,3,363798,226,False,False
VOLVO,XC40,4,363798,226,False,False
MERCEDES-BENZ,B-Klasse,1,364984,186,False,False
MERCEDES-BENZ,B-Klasse,2,212653,186,False,False
MERCEDES-BENZ,B-Klasse,3,160084,186,False,False
MERCEDES-BENZ,B-Klasse,4,94246,186,False,False
CITROËN,C3 Aircross,1,209592,160,False,False
CITROËN,C3 Aircross,2,134186,160,False,False
CITROËN,C3 Aircross,3,85952,160,False,False
CITROËN,C3 Aircross,4,61325,160,False,False
OPEL,MERIVA,1,105089,624,False,False
OPEL,MERIVA,2,103195,624,False,False
OPEL,MERIVA,3,90196,624,False,False
OPEL,MERIVA,4,69287,624,False,False
MERCEDES-BENZ,C,1,654341,938,False,False
MERCEDES-BENZ,C,2,391311,938,False,False
MERCEDES-BENZ,C,3,236574,938,False,False
MERCEDES-BENZ,C,4,115841,938,False,False
SKODA,RAPID SPACEBACK,1,296339,987,True,False
SKODA,RAPID SPACEBACK,2,238942,987,True,False
SKODA,RAPID SPACEBACK,3,140269,987,True,False
SKODA,RAPID SPACEBACK,4,76396,987,True,False
KIA,Optima,1,152560,78,False,False
KIA,Optima,2,157286,78,False,False
KIA,Optima,3,132463,78,False,False
KIA,Optima,4,78062,78,False,False
AUDI,A1 SPORTBACK,1,749967,486,True,False
AUDI,A1 SPORTBACK,2,343922,486,True,False
AUDI,A1 SPORTBACK,3,208416,486,True,False
AUDI,A1 SPORTBACK,4,159698,486,True,False
BMW,4-serie,1,588362,323,False,False
BMW,4-serie,2,341853,323,False,False
BMW,4-serie,3,296570,323,False,False
BMW,4-serie,4,243721,323,False,False
NISSAN,Qashqai J11A,1,310100,326,False,False
NISSAN,Qashqai J11A,2,203203,326,False,False
NISSAN,Qashqai J11A,3,147756,326,False,False
NISSAN,Qashqai J11A,4,91916,326,False,False
RENAULT,MEGANE SPORT TOURER,1,191532,400,False,False
RENAULT,MEGANE SPORT TOURER,2,135272,400,False,False
RENAULT,MEGANE SPORT TOURER,3,85233,400,False,False
RENAULT,MEGANE SPORT TOURER,4,49905,400,False,False
VOLKSWAGEN,GOLF,1,254873,2855,False,False
VOLKSWAGEN,GOLF,2,171808,2855,False,False
VOLKSWAGEN,GOLF,3,116658,2855,False,False
VOLKSWAGEN,GOLF,4,74696,2855,False,False
RENAULT,Ny Clio,1,216517,4872,True,False
RENAULT,Ny Clio,2,144098,4872,True,False
RENAULT,Ny Clio,3,87868,4872,True,False
RENAULT,Ny Clio,4,54838,4872,True,False
VOLKSWAGEN,TOURAN,1,365370,538,False,False
VOLKSWAGEN,TOURAN,2,236920,538,False,False
VOLKSWAGEN,TOURAN,3,156211,538,False,False
VOLKSWAGEN,TOURAN,4,89572,538,False,False
PEUGEOT,107,1,37974,77,False,False
PEUGEOT,107,2,37974,77,False,False
PEUGEOT,107,3,37974,77,False,False
PEUGEOT,107,4,34592,77,False,False
PEUGEOT,3008,1,352089,696,False,False
PEUGEOT,3008,2,246123,696,False,False
PEUGEOT,3008,3,138181,696,False,False
PEUGEOT,3008,4,66567,696,False,False
SKODA,FABIA COMBI,1,141102,25,False,False
SKODA,FABIA COMBI,2,98338,25,False,False
SKODA,FABIA COMBI,3,75602,25,False,False
SKODA,FABIA COMBI,4,56715,25,False,False
MAZDA,MAZDA2,1,328058,559,True,False
MAZDA,MAZDA2,2,255231,559,True,False
MAZDA,MAZDA2,3,185189,559,True,False
MAZDA,MAZDA2,4,111095,559,True,False
FORD,MONDEO,1,224235,836,False,False
FORD,MONDEO,2,175732,836,False,False
FORD,MONDEO,3,122188,836,False,False
FORD,MONDEO,4,76624,836,False,False
MAZDA,MAZDA6,1,345550,559,True,False
MAZDA,MAZDA6,2,272723,559,True,False
MAZDA,MAZDA6,3,202681,559,True,False
MAZDA,MAZDA6,4,128587,559,True,False
MAZDA,3,1,304437,91,False,False
MAZDA,3,2,212521,91,False,False
MAZDA,3,3,109485,91,False,False
MAZDA,3,4,62229,91,False,False
SEAT,TOLEDO,1,95500,74,False,False
SEAT,TOLEDO,2,94831,74,False,False
SEAT,TOLEDO,3,84540,74,False,False
SEAT,TOLEDO,4,65820,74,False,False
FORD,MONDEO STATIONCAR,1,197240,207,False,False
FORD,MONDEO STATIONCAR,2,185981,207,False,False
FORD,MONDEO STATIONCAR,3,125542,207,False,False
FORD,MONDEO STATIONCAR,4,79496,207,False,False
HONDA,CR-V,1,458570,459,False,False
HONDA,CR-V,2,319314,459,False,False
HONDA,CR-V,3,222924,459,False,False
HONDA,CR-V,4,146365,459,False,False
KIA,Stonic,1,212290,117,False,False
KIA,Stonic,2,184986,117,False,False
KIA,Stonic,3,168495,117,False,False
KIA,Stonic,4,168495,117,False,False
FIAT,500 C,1,235337,73,False,False
FIAT,500 C,2,138795,73,False,False
FIAT,500 C,3,113767,73,False,False
FIAT,500 C,4,87884,73,False,False
MERCEDES-BENZ,GLA,1,489359,194,False,False
MERCEDES-BENZ,GLA,2,337197,194,False,False
MERCEDES-BENZ,GLA,3,286979,194,False,False
MERCEDES-BENZ,GLA,4,236204,194,False,False
BMW,2-Serie,1,515434,261,False,False
BMW,2-Serie,2,289414,261,False,False
BMW,2-Serie,3,206393,261,False,False
BMW,2-Serie,4,209361,261,False,False
FIAT,Punto S7,1,218108,575,True,False
FIAT,Punto S7,2,144397,575,True,False
FIAT,Punto S7,3,107377,575,True,False
FIAT,Punto S7,4,72536,575,True,False
VOLKSWAGEN,CALIFORNIA,1,1324032,71,False,False
VOLKSWAGEN,CALIFORNIA,2,1002946,71,False,False
VOLKSWAGEN,CALIFORNIA,3,807807,71,False,False
VOLKSWAGEN,CALIFORNIA,4,807807,71,False,False
VOLKSWAGEN,POLO,1,193574,852,False,False
VOLKSWAGEN,POLO,2,118192,852,False,False
VOLKSWAGEN,POLO,3,80733,852,False,False
VOLKSWAGEN,POLO,4,53251,852,False,False
FORD,FOCUS,1,219207,1674,False,False
FORD,FOCUS,2,131211,1674,False,False
FORD,FOCUS,3,86951,1674,False,False
FORD,FOCUS,4,58076,1674,False,False
RENAULT,MEGANE,1,202149,1147,False,False
RENAULT,MEGANE,2,137312,1147,False,False
RENAULT,MEGANE,3,82625,1147,False,False
RENAULT,MEGANE,4,51562,1147,False,False
VOLKSWAGEN,GOLF VARIANT,1,238712,800,False,False
VOLKSWAGEN,GOLF VARIANT,2,167000,800,False,False
VOLKSWAGEN,GOLF VARIANT,3,118896,800,False,False
VOLKSWAGEN,GOLF VARIANT,4,76149,800,False,False
CITROËN,BERLINGO,1,301512,91,False,False
CITROËN,BERLINGO,2,157372,91,False,False
CITROËN,BERLINGO,3,90404,91,False,False
CITROËN,BERLINGO,4,63765,91,False,False
FORD,NY Focus,1,250239,5921,True,False
FORD,NY Focus,2,156781,5921,True,False
FORD,NY Focus,3,98409,5921,True,False
FORD,NY Focus,4,64506,5921,True,False
MITSUBISHI,ASX,1,341148,122,False,False
MITSUBISHI,ASX,2,216451,122,False,False
