dmr_make,dmr_model,age_band,estimated_value_dkk,n_listings,pooled_at_brand,calibrated,calibration_factor_applied,mileage_adjustment_pct_per_10k_km,donor_model,anchor_band,anchor_price_dkk
SUZUKI,SWIFT,1,112915,1,True,True,,0.0391,TOYOTA YARIS,2,77372
SUZUKI,SWIFT,2,77372,1,True,True,,0.0391,TOYOTA YARIS,2,77372
SUZUKI,SWIFT,3,50449,1,True,True,,0.0391,TOYOTA YARIS,2,77372
SUZUKI,SWIFT,4,33266,1,True,True,,0.0391,TOYOTA YARIS,2,77372
SUZUKI,BALENO,1,105456,1,True,True,,0.0391,TOYOTA YARIS,2,72262
SUZUKI,BALENO,2,72262,1,True,True,,0.0391,TOYOTA YARIS,2,72262
SUZUKI,BALENO,3,47117,1,True,True,,0.0391,TOYOTA YARIS,2,72262
SUZUKI,BALENO,4,31069,1,True,True,,0.0391,TOYOTA YARIS,2,72262
SUZUKI,IGNIS,1,110230,1,True,True,,0.0391,HYUNDAI I10,2,81682
SUZUKI,IGNIS,2,81682,1,True,True,,0.0391,HYUNDAI I10,2,81682
SUZUKI,IGNIS,3,68619,1,True,True,,0.0391,HYUNDAI I10,2,81682
SUZUKI,IGNIS,4,46974,1,True,True,,0.0391,HYUNDAI I10,2,81682
SUZUKI,Celerio,1,73199,1,True,True,,0.0391,HYUNDAI I10,2,54241
SUZUKI,Celerio,2,54241,1,True,True,,0.0391,HYUNDAI I10,2,54241
SUZUKI,Celerio,3,45567,1,True,True,,0.0391,HYUNDAI I10,2,54241
SUZUKI,Celerio,4,31193,1,True,True,,0.0391,HYUNDAI I10,2,54241
